,MW_score,MW_rank,Effect,Effect_rank,L1_coef,L1_rank,RF,RF_rank,MI,MI_rank,Avg_rank
POE14,1.9291549251348934,4.0,0.25574712643678166,3.0,0.9946667047283461,7.0,0.03071390316412584,2.0,0.03550932359163039,7.0,4.466666666666667
POE25.C18,1.4749436922998505,16.0,0.21580459770114935,13.0,1.1107713630559501,3.0,0.01846653117597436,13.0,0.010579407715269218,38.0,15.133333333333333
POE12,1.6469254655756924,8.0,0.23160919540229874,8.0,0.0,56.0,0.03307054713073939,1.0,0.02919630125488215,14.0,17.466666666666665
POE35.SORBITAN,1.5454671455737128,11.0,0.219971264367816,11.0,0.8028180610486527,14.0,0.008014493329918219,54.0,0.030961229898986975,13.0,17.6
POE17,1.663102388595218,7.0,0.23304597701149432,7.0,0.0,56.0,0.016125420324499953,21.0,0.0794701654908867,1.0,17.866666666666667
POE30.C18,2.112464536202411,2.0,0.2563218390804598,2.0,0.8075884269929795,13.0,0.00816711858235449,53.0,0.0014854231001060203,54.0,17.933333333333334
POE16,1.9256637716063756,5.0,0.2554597701149426,4.0,0.0,56.0,0.023046574248091645,5.0,0.009335800206651035,42.0,19.866666666666667
POE13,1.6989680381476946,6.0,0.2362068965517241,6.0,0.0,56.0,0.026109803990811427,4.0,0.010975561345619944,37.0,19.866666666666667
POE15,1.992539126621655,3.0,0.26091954022988495,1.0,0.0,56.0,0.008369020999368844,51.0,0.03203082855417416,11.0,20.533333333333335
POE31.C18,2.2313127756302062,1.0,0.2479885057471265,5.0,0.3500462899220813,27.0,0.011374550895564698,31.0,0.0,79.0,21.666666666666668
POE26.SORBITAN,1.44676995917967,19.0,0.2132183908045977,17.0,0.0,56.0,0.018360687442945986,14.0,0.04071559536229685,3.0,23.066666666666666
POE24.SORBITAN,1.5017732416640166,13.0,0.21839080459770122,12.0,0.1849067622129704,42.0,0.0059240308595501934,70.0,0.022133771893389165,16.0,26.533333333333335
POE22.SORBITAN,1.6420956199849335,9.0,0.23117816091954024,9.0,0.0,56.0,0.02290806313985637,6.0,0.0,79.0,27.333333333333332
POE18,1.3368605379508773,28.0,0.20258620689655182,25.0,0.0916806634477856,50.0,0.019007785911561867,12.0,0.02027678336239247,19.0,28.266666666666666
POE11,1.4106574694854468,22.0,0.20977011494252884,20.0,0.0,56.0,0.013631440444876082,28.0,0.021148394254951297,17.0,28.4
POE19,1.468037625118468,17.0,0.2152298850574712,14.0,0.0,56.0,0.010377834910364278,37.0,0.006560224242363244,46.0,30.533333333333335
POE15.C16,1.4852449664277463,14.0,0.2089080459770114,21.0,0.19528401904512535,41.0,0.01567893626344005,22.0,0.0,79.0,31.0
POE18.SORBITAN,1.4779705942590655,15.0,0.21494252873563213,15.5,0.0,56.0,0.009997280986788882,41.0,0.006368092412246451,48.0,31.2
POE21.SORBITAN,1.4652434662959692,18.0,0.21494252873563213,15.5,0.132164010390946,45.0,0.01467885514574889,24.0,0.0,79.0,31.666666666666668
POE18.C16,1.3506778766347012,27.0,0.20201149425287346,26.0,0.0,56.0,0.019889850491108547,10.0,0.010213088757203614,39.0,31.866666666666667
POE27.SORBITAN,1.2920809451355397,34.0,0.19813218390804588,31.0,0.0,56.0,0.027854052330345963,3.0,0.017866960405673593,25.0,32.266666666666666
POE19.C16,1.3353508987860172,29.0,0.2012931034482759,27.0,0.0,56.0,0.013855509569335896,27.0,0.02025265229756701,20.0,32.4
POE30.SORBITAN,1.367913412793862,24.0,0.20560344827586197,23.0,1.0714478088828636,5.0,0.00633938497335852,66.0,0.0,79.0,32.86666666666667
POE10,1.2452114622184964,41.0,0.19339080459770108,40.0,0.393848214332206,24.0,0.01720540263697715,18.0,0.01129331113305887,35.0,33.46666666666667
POE19.SORBITAN,1.2918609033684756,35.0,0.1974137931034483,32.0,0.20358282597314104,40.0,0.009051919407395552,46.0,0.03185279885629444,12.0,33.6
POE29.SORBITAN,1.3691474354133608,23.0,0.2057471264367816,22.0,0.266502485404026,33.0,0.01015958353179152,39.0,0.0,79.0,34.333333333333336
