,MW_score,MW_rank,Effect,Effect_rank,L1_coef,L1_rank,RF,RF_rank,MI,MI_rank,Avg_rank
POE14,1.9761643422658872,3.0,0.2633195148165208,2.0,0.4394539105812863,14.0,0.03348357023541393,2.0,0.04781370765961879,8.0,5.466666666666667
POE17,1.7240707936461481,6.0,0.24182404421925385,4.0,0.0,41.0,0.029231626930483562,3.0,0.07905288295819801,1.0,11.4
POE15,2.0211128780200776,1.0,0.26700445263319517,1.0,0.0,41.0,0.016969358855854412,17.0,0.045825734670509766,9.0,12.2
POE35.SORBITAN,1.6449710276795504,8.0,0.23184400429909413,9.0,0.2752834071253443,20.0,0.024183623631093096,6.0,0.02266891888309197,24.0,12.533333333333333
POE12,1.6348076035988202,9.0,0.23384001228312612,6.0,0.0,41.0,0.021422708526703763,9.0,0.040661659546151085,12.0,15.0
POE30.C18,1.7722045677417937,5.0,0.23199754337478895,8.0,0.491943218703569,12.0,0.017261835162474287,16.0,0.0,79.5,18.6
POE13,1.7067215984338138,7.0,0.2402886534623061,5.0,0.0,41.0,0.024063031992608622,7.0,0.009229574147278319,49.0,18.866666666666667
POE16,1.9724415930199957,4.0,0.2630124366651312,3.0,0.0,41.0,0.01602178893688694,20.0,0.005617969495168351,53.0,19.8
POE31.C18,1.9794472295348549,2.0,0.23230462152617837,7.0,0.48903689987675253,13.0,0.010128445076567896,39.0,0.0,79.5,20.8
POE19,1.5020703833832207,11.0,0.221556886227545,11.0,0.0,41.0,0.019470447290136625,13.0,0.0063945695640499345,52.0,22.733333333333334
POE24.SORBITAN,1.4891046858908572,13.0,0.22032857362198688,12.0,0.0,41.0,0.009946636419028054,41.0,0.01871000941479828,33.0,24.733333333333334
POE26.SORBITAN,1.4601266476529067,17.0,0.217564870259481,15.0,0.0,41.0,0.010053861909189577,40.0,0.02347687875783122,22.0,25.0
POE11,1.381093389650722,25.0,0.20988791647474292,23.5,0.0,41.0,0.013457240938849879,29.0,0.028722448794263222,18.0,27.4
POE34.SORBITAN,1.3505962366271547,26.0,0.20466758790112083,26.0,0.0,41.0,0.012799056266187814,32.0,0.029395653550094547,17.0,28.6
POE21.SORBITAN,1.419033868540701,19.0,0.21357285429141726,18.0,0.07185252311618306,34.0,0.018663458910490024,15.0,0.0,79.5,29.266666666666666
POE36.SORBITAN,1.4808624071431047,15.0,0.21418701059419631,16.0,0.5053883032162371,10.0,0.005896807855898868,65.0,0.0,79.5,29.533333333333335
POE22.SORBITAN,1.5760605186781178,10.0,0.2284661446338092,10.0,0.0,41.0,0.009425671932468823,43.0,0.0,79.5,29.866666666666667
POE20.SORBITAN,1.4870921058430726,14.0,0.22002149547059724,13.0,0.0,41.0,0.00735637232319815,54.0,0.0029600816453334566,55.0,29.933333333333334
POE18,1.3873367203999298,24.0,0.21050207277752198,22.0,0.0,41.0,0.008841299927306227,46.0,0.022432603459950018,25.0,29.933333333333334
POE30.SORBITAN,1.4049158049863086,21.0,0.21219100261016433,20.0,0.5665228330856392,7.0,0.0075990971683663555,53.0,0.0,79.5,30.0
POE33.SORBITAN,1.4939892140420974,12.0,0.219560878243513,14.0,0.0,41.0,0.012323172587079725,34.0,0.0,79.5,30.266666666666666
POE31.SORBITAN,1.423085293349724,18.0,0.21387993244280668,17.0,0.0,41.0,0.01651266651468059,19.0,0.0,79.5,30.666666666666668
POE21.C16,1.154146494651124,43.0,0.1859358206663595,37.0,0.5079059368645333,9.0,0.014552448834130476,23.0,0.01733933203867455,34.0,30.733333333333334
POE18.C16,1.240621220448149,35.0,0.1936127744510978,33.0,0.0,41.0,0.014214158746216904,24.0,0.04269812610144785,10.0,30.866666666666667
POE27.SORBITAN,1.3178968079179838,28.0,0.20359281437125754,27.0,0.0,41.0,0.01549774808109529,22.0,0.011266717611434274,44.0,31.666666666666668
POE23.SORBITAN,1.396742277187308,22.0,0.21142330723169045,21.0,0.0,41.0,0.01936142512989021,14.0,0.0,79.5,32.13333333333333
POE25.C18,1.1063973257689181,48.0,0.18132964839551668,43.0,0.5686777308109038,5.0,0.013362386404862325,30.0,0.021500934010308725,26.0,32.733333333333334
POE24.C16,1.2691666486075994,32.0,0.1979118685705512,30.0,0.20106000591437814,23.0,0.004069458140120417,81.0,0.04976054936649166,6.0,32.733333333333334
POE18.SORBITAN,1.3947212340035846,23.0,0.20988791647474292,23.5,0.0,41.0,0.007138229797067278,56.0,0.009765211723898437,48.0,34.46666666666667
POE20,1.1943326093776585,39.0,0.19084907108859195,35.0,0.0,41.0,0.021982016631907374,8.0,0.012174657138092737,41.0,34.46666666666667
POE22.C16,1.1426962651548884,45.0,0.18470750806080138,40.0,0.0,41.0,0.012706996739130474,33.0,0.05141128696935948,4.0,35.8
POE17.C16,1.1132825425703075,46.0,0.18010133578995857,44.0,0.0,41.0,0.012181074999394931,35.0,0.04860314835121038,7.0,37.8
POE23,1.1472340306537219,44.0,0.1857822815906649,38.0,0.0,41.0,0.02041134539480154,10.0,0.006513817259795385,51.0,38.2
POE10,1.2059867789647554,38.0,0.19207738369415006,34.0,0.0,41.0,0.006978850111074447,57.0,0.019618226026872687,30.0,39.0
POE32.SORBITAN,1.3493452206304675,27.0,0.20635651773376318,25.0,0.0,41.0,0.008017186565050684,50.0,0.0,79.5,39.333333333333336
POE29.SORBITAN,1.4125104284621997,20.0,0.2129586979886382,19.0,0.0,41.0,0.00462159932986569,77.0,0.0,79.5,39.46666666666667
POE12.ISOSORBITAN,1.1569254212615068,41.0,0.18347919545524327,41.0,0.11293507316815776,30.0,0.002071180866538468,87.0,0.05412748197708139,3.0,39.86666666666667
POE30.C16,1.465771403159907,16.0,0.17979425763856893,45.0,0.0,41.0,0.005644693241464195,70.0,0.009809011788103561,47.0,40.06666666666667
POE19.SORBITAN,1.2392984265151583,36.0,0.19484108705665593,32.0,0.0,41.0,0.005882235296064491,66.0,0.014587218879083208,38.0,40.2
POE15.C16,1.2120623641085626,37.0,0.18532166436358044,39.0,0.08176742738438861,33.0,0.014016873098266554,27.0,0.0,79.5,41.06666666666667
POE22,0.9077010438200047,64.0,0.1586058651926916,60.0,0.5567533713540884,8.0,0.03645986059090153,1.0,0.002349600784872008,56.0,42.266666666666666
POE25.SORBITAN,1.3163801413842235,29.0,0.20343927529556272,28.0,0.0,41.0,0.005927680362356819,64.0,0.0,79.5,42.53333333333333
POE16.C16,1.103534377851545,49.0,0.17764471057884235,48.0,0.0,41.0,0.01592227494874695,21.0,0.010951361445035168,46.0,43.0
