model,n_features,train_auc,val_auc,sensitivity,specificity,threshold
SVM Linear,12,0.26508875739644966,0.29585588783388056,0.0,1.0,inf
Logistic (L1),18,0.7147928994082839,0.5602981631023161,0.3898305084745763,0.806282722513089,0.6011329520161804
Logistic (L2),17,0.7301775147928995,0.6831129647706097,0.7627118644067796,0.5392670157068062,0.24890059777233672
Random Forest,18,0.9846153846153847,0.5598544680095838,0.4406779661016949,0.7591623036649214,0.4293273494729897
SVM RBF,12,0.12781065088757396,0.4254148549117047,0.1864406779661017,0.8900523560209425,0.2524563106995579
XGBoost,19,1.0,0.5299050492501554,0.8305084745762712,0.2617801047120419,0.08252599090337753
Gradient Boosting,20,1.0,0.5096725530215636,0.3898305084745763,0.7068062827225131,0.0833767178857296
