Model,CV_AUC,CV_std,Val_AUC,Sensitivity,Specificity
Logistic (L2),0.6512820512820513,0.21227920036737644,0.4256908140403286,0.9615384615384616,0.11650485436893204
Logistic (L1),0.6303418803418804,0.2065831591658929,0.4327856609410008,0.9615384615384616,0.11650485436893204
SVM Linear,0.6525641025641026,0.23184932421450907,0.5660941000746826,0.9230769230769231,0.33980582524271846
SVM RBF,0.6064102564102564,0.17445321736588773,0.5220313666915609,0.38461538461538464,0.8446601941747572
Random Forest,0.6534188034188034,0.17238915792271806,0.5192307692307693,0.46153846153846156,0.6893203883495146
Gradient Boosting,0.5784188034188034,0.14291917086328335,0.5026138909634056,0.6923076923076923,0.39805825242718446
XGBoost,0.6585470085470085,0.22650540214779227,0.5041075429424944,0.5,0.5922330097087378
