"feature","Region","Group 0","Group 1","mean_diff","direction","abs_diff"
"Sac_S","AUS",17.9490735294118,4.48036363636364,-13.4687098930481,"G0 > G1",13.4687098930481
"Sac_S","HK",25.12009375,59.6733846153846,34.5532908653846,"G1 > G0",34.5532908653846
"Sac_S","KM",31.7615952371429,90.0081222153333,58.2465269781905,"G1 > G0",58.2465269781905
"Suc_S","AUS",389.469735294118,118.283090909091,-271.186644385027,"G0 > G1",271.186644385027
"Suc_S","HK",647.15496875,1549.00730769231,901.852338942308,"G1 > G0",901.852338942308
"Suc_S","KM",213.480529524,770.139286666667,556.658757142667,"G1 > G0",556.658757142667
"cdai","AUS",53.3968947648676,195.928431763636,142.531536998769,"G1 > G0",142.531536998769
"cdai","HK",69.24884848125,201.530242238462,132.281393757212,"G1 > G0",132.281393757212
"cdai","KM",85.9307449337143,240.323751053333,154.393006119619,"G1 > G0",154.393006119619
