Model,CV_AUC,CV_std,Val_AUC,Sensitivity,Specificity
Logistic (L2),0.6295588235294117,0.03556900753483184,0.625,0.625,0.7075471698113207
Logistic (L1),0.653172268907563,0.032627639877519786,0.5849056603773585,0.5,0.7452830188679245
SVM Linear,0.6182142857142857,0.04847679857416327,0.714622641509434,0.875,0.5377358490566038
SVM RBF,0.693529411764706,0.08462370546977069,0.5566037735849056,0.75,0.42452830188679247
Random Forest,0.6473529411764707,0.047031917578349625,0.554245283018868,0.5,0.6981132075471698
Gradient Boosting,0.6293382352941177,0.08232344373972358,0.5241745283018868,1.0,0.1509433962264151
XGBoost,0.6111134453781513,0.07973898281879395,0.5442216981132075,1.0,0.25471698113207547
