Model,CV_AUC,CV_std,Val_AUC,Sensitivity,Specificity
Logistic (L2),0.6225840336134454,0.08713656822449893,0.5976572899103736,0.576271186440678,0.643979057591623
Logistic (L1),0.6457792207792208,0.07223593631494289,0.5846126541840447,0.4915254237288136,0.7172774869109948
SVM Linear,0.6035300483829895,0.09786036433764798,0.6832904428077026,0.8135593220338984,0.5078534031413613
SVM RBF,0.6309810287751464,0.07783222236696724,0.5403318839293637,0.5423728813559322,0.6701570680628273
Random Forest,0.6384262796027502,0.11683752728460874,0.500976129204011,0.3050847457627119,0.7905759162303665
Gradient Boosting,0.5863572701807996,0.12053654788208473,0.3218564202679919,0.9322033898305084,0.07853403141361257
XGBoost,0.5965543035395976,0.10248360658177935,0.47945691720649575,0.288135593220339,0.7591623036649214
