Model,CV_AUC,CV_std,Val_AUC,Sensitivity,Specificity
Logistic (L2),0.620078940667176,0.07369404434921198,0.5886946490371816,0.5423728813559322,0.643979057591623
Logistic (L1),0.6269798828622358,0.07567148815092173,0.5652675481409175,0.6271186440677966,0.5392670157068062
SVM Linear,0.6122994652406417,0.06472223856955567,0.676546277398172,0.7966101694915254,0.5602094240837696
SVM RBF,0.6591895849248791,0.08005166246344457,0.5359836720205874,0.4576271186440678,0.7853403141361257
Random Forest,0.6192195059842118,0.08792288214059345,0.5094507054751974,0.4915254237288136,0.6335078534031413
Gradient Boosting,0.5861997071555896,0.10399488885010444,0.35752950572366665,0.9152542372881356,0.10471204188481675
XGBoost,0.5507575757575758,0.05833151196381961,0.4795456562250422,0.3898305084745763,0.7068062827225131
