Model,CV_AUC,CV_std,Val_AUC,Sensitivity,Specificity
Logistic (L2),0.6568376068376068,0.17388279202793616,0.32225541448842415,0.8846153846153846,0.1650485436893204
Logistic (L1),0.6495726495726496,0.16958867445648676,0.3343913368185213,0.8846153846153846,0.17475728155339806
SVM Linear,0.6465811965811966,0.17299829384129606,0.32935026138909634,0.8846153846153846,0.17475728155339806
SVM RBF,0.5038461538461538,0.15783295791294763,0.3745332337565347,1.0,0.05825242718446602
Random Forest,0.5549145299145299,0.16180674596690153,0.47908887229275576,0.8076923076923077,0.3883495145631068
Gradient Boosting,0.5294871794871794,0.28860680103139963,0.5003734129947722,0.8076923076923077,0.36893203883495146
XGBoost,0.5352564102564102,0.24049997232097667,0.5080283793876027,0.8846153846153846,0.2912621359223301
