Model,CV_AUC,CV_std,Val_AUC,Sensitivity,Specificity
Logistic (L2),0.5952062643239113,0.058781186634947906,0.5648584905660378,1.0,0.27358490566037735
Logistic (L1),0.6382416603004838,0.05042276832864606,0.5436320754716981,1.0,0.24528301886792453
SVM Linear,0.5972561751973516,0.04038252785682112,0.5330188679245282,0.25,0.8867924528301887
SVM RBF,0.6363731856378916,0.05466200251667109,0.5660377358490566,0.875,0.3113207547169811
Random Forest,0.6553762414056531,0.05564745164259474,0.5283018867924528,0.5,0.660377358490566
Gradient Boosting,0.6240164247517188,0.06750612027094867,0.49941037735849053,0.875,0.36792452830188677
XGBoost,0.5901594728800611,0.06094116771880199,0.6202830188679245,1.0,0.42452830188679247
