model,n_features,train_auc,cv_auc,val_auc,sensitivity,specificity,features
XGBoost,3,0.9699519230769231,0.5320512820512822,0.777259148618372,0.8076923076923077,0.6504854368932039,"Suc_S, Sac_S, POE25"
Gradient Boosting,3,0.9945913461538461,0.6153846153846153,0.7466392830470501,0.6538461538461539,0.7961165048543689,"Suc_S, Sac_S, POE25"
Random Forest,3,0.951923076923077,0.6017094017094016,0.7275952203136669,0.5769230769230769,0.8446601941747572,"Suc_S, Sac_S, POE25"
SVM RBF,12,0.8677884615384616,0.5376068376068376,0.7214339058999254,0.5384615384615384,0.912621359223301,"Suc_S, Sac_S, POE25, POE21, POE20, POE29.C16, POE17, POE31.C18, POE22, POE16, POE18, POE24"
SVM Linear,15,0.7944711538461539,0.6175213675213675,0.7068707991038089,0.46153846153846156,0.9223300970873787,"Suc_S, Sac_S, POE25, POE21, POE20, POE29.C16, POE17, POE31.C18, POE22, POE16, POE18, POE24, POE26, POE12, POE29.C18"
Logistic (L2),15,0.7884615384615384,0.6747863247863248,0.6796116504854368,0.6538461538461539,0.6990291262135923,"Suc_S, Sac_S, POE25, POE21, POE20, POE29.C16, POE17, POE31.C18, POE22, POE16, POE18, POE24, POE26, POE12, POE29.C18"
Logistic (L1),3,0.7788461538461539,0.7209401709401708,0.6534727408513816,0.6538461538461539,0.7378640776699029,"Suc_S, Sac_S, POE25"
