,MW_score,MW_rank,Effect,Effect_rank,L1_coef,L1_rank,RF,RF_rank,MI,MI_rank,Avg_rank
POE29.C16,0.8118390957585497,4.0,0.22836538461538458,7.0,0.34074239150204677,6.0,0.012568169955612003,34.0,0.0552453799420094,10.0,10.0
POE25,0.8445417921650618,2.0,0.2596153846153846,2.5,0.6491301950785577,3.0,0.019548511615893282,13.0,0.008941392346909938,49.0,10.066666666666666
POE26,0.6026788607950341,13.0,0.20432692307692313,12.0,0.6601686791419468,2.0,0.02160053699720095,9.0,0.022677546949352756,29.0,12.133333333333333
POE20,0.8422591553607884,3.0,0.2596153846153846,2.5,0.0,24.0,0.027970642490056697,4.0,0.010688461504218427,46.0,12.933333333333334
POE28.C16,0.574270475646412,14.0,0.1923076923076923,14.0,0.0,24.0,0.016639694115145265,18.0,0.058587452661106765,8.0,15.733333333333333
POE21,0.9345053250879535,1.0,0.27884615384615385,1.0,0.0,24.0,0.011918945541685365,35.0,0.010609192200135453,48.0,16.4
POE23,0.7228938853640868,7.0,0.23317307692307687,5.0,0.10195012851138718,17.0,0.019765417980539147,12.0,0.0,80.0,18.866666666666667
POE24,0.68151835344317,10.0,0.2235576923076923,8.5,0.1217164451584264,15.0,0.023689365818834098,7.0,0.0,80.0,19.533333333333335
POE17,0.5439917328906869,15.0,0.18990384615384615,15.0,0.0,24.0,0.008273644821883737,53.0,0.10302456118732639,1.0,20.0
POE22,0.7868488754814268,5.0,0.24759615384615385,4.0,0.0,24.0,0.01616714919797147,21.0,0.0,80.0,20.666666666666668
POE31.C18,0.7316568736480978,6.0,0.19591346153846145,13.0,0.011146613405884865,22.0,0.005773807601498019,65.0,0.031576877461998665,23.0,21.2
POE29.C18,0.37667435630280627,30.0,0.14182692307692313,27.5,0.0,24.0,0.03398488403711808,1.0,0.04918403435778984,13.0,22.0
POE13,0.445290151271513,19.0,0.16346153846153844,18.0,0.0,24.0,0.022036785265504892,8.0,0.0022877023829430687,56.0,23.2
POE14.C16,0.4369106388757633,21.0,0.1610576923076923,19.0,0.0,24.0,0.025107424133842975,6.0,0.005802095358489412,53.0,23.333333333333332
POE15.C16,0.6208270968396004,12.0,0.20673076923076916,11.0,0.21614343407572312,12.0,0.0014031069839997336,89.0,0.0240410235609958,26.0,23.866666666666667
POE16,0.4281753530832502,23.0,0.15865384615384615,21.0,0.0,24.0,0.010445639073140356,41.0,0.04909931267539025,14.0,23.866666666666667
POE12,0.39470366395481143,25.0,0.14903846153846156,22.0,0.0,24.0,0.017976390646529603,16.0,0.01518419565049789,36.0,24.266666666666666
POE18.SORBITAN,0.4282485020703942,22.0,0.15865384615384626,20.0,0.0,24.0,0.013011893745035485,30.0,0.01631735037372639,33.0,24.4
POE19,0.7120385745544675,9.0,0.23076923076923073,6.0,0.0,24.0,0.009914464635494735,45.0,0.0,80.0,25.466666666666665
POE18,0.6606313017260218,11.0,0.21875,10.0,0.0,24.0,0.0026753623188405804,80.0,0.011887782959873139,44.0,26.933333333333334
POE30.C18,0.5241657070725045,17.0,0.1766826923076923,17.0,0.0027927024672751814,23.0,0.015988661610871646,22.0,0.0,80.0,27.266666666666666
POE27,0.713829857998013,8.0,0.2235576923076923,8.5,0.0,24.0,0.005341548867442389,68.0,0.0,80.0,28.933333333333334
POE30,0.40359388473195,24.0,0.14663461538461542,24.0,0.037793641762091955,20.0,0.020259304622934505,11.0,0.0,80.0,28.933333333333334
POE14,0.33076011875894196,45.5,0.1298076923076923,38.5,0.0,24.0,0.021330508037698395,10.0,0.08035866019425697,3.0,28.933333333333334
POE19.SORBITAN,0.3703205980996433,31.0,0.14182692307692313,27.5,0.0,24.0,0.00979773783491771,46.0,0.025954305667772237,25.0,29.866666666666667
POE35.SORBITAN,0.36519436521879156,36.0,0.13942307692307687,29.5,0.3029950709453764,7.0,0.007551145724830138,58.0,0.021389801122882135,30.0,30.6
POE15,0.33076011875894196,45.5,0.1298076923076923,38.5,0.0,24.0,0.019362662451623925,14.0,0.043768398047565826,17.0,31.333333333333332
POE24.C16,0.38655788741376224,27.0,0.14663461538461542,24.0,0.0,24.0,0.01786383073656368,17.0,0.0,80.0,31.333333333333332
