,MW_score,MW_rank,Effect,Effect_rank,L1_coef,L1_rank,RF,RF_rank,MI,MI_rank,Avg_rank
POE25,0.8445417921650618,2.0,0.2596153846153846,2.5,0.6496134021939857,3.0,0.016441080642739497,20.0,0.008941392346909938,46.0,10.6
POE26,0.6026788607950341,13.0,0.20432692307692313,12.0,0.6590904766885446,2.0,0.032684219444877705,2.0,0.022677546949352756,26.0,10.8
POE20,0.8422591553607884,3.0,0.2596153846153846,2.5,0.0,24.0,0.027412314556328757,5.0,0.010688461504218427,42.0,12.533333333333333
POE29.C16,0.8118390957585497,4.0,0.22836538461538458,7.0,0.3406159989113134,6.0,0.01125716067404343,36.0,0.003898298302331238,53.0,16.0
POE17,0.5439917328906869,15.0,0.18990384615384615,15.0,0.0,24.0,0.013478008598096487,25.0,0.10302456118732639,1.0,16.266666666666666
POE21,0.9345053250879535,1.0,0.27884615384615385,1.0,0.0,24.0,0.009608246178148013,47.0,0.010609192200135453,44.0,17.466666666666665
POE15.C16,0.6208270968396004,12.0,0.20673076923076916,11.0,0.21598394571440768,12.0,0.007100101696501623,61.0,0.03584238958314101,16.0,18.8
POE22,0.7868488754814268,5.0,0.24759615384615385,4.0,0.0,24.0,0.019844151117230594,10.0,0.0,79.0,19.066666666666666
POE16,0.4281753530832502,23.0,0.15865384615384615,21.0,0.0,24.0,0.01885093113189126,11.0,0.04909931267539025,12.0,19.6
POE24,0.68151835344317,10.0,0.2235576923076923,8.5,0.12397844314360329,15.0,0.018349778425618118,12.0,0.0,79.0,20.066666666666666
POE31.C18,0.7316568736480978,6.0,0.19591346153846145,13.0,0.011239941674173614,22.0,0.009189854651418196,49.0,0.014792836128710407,35.0,20.666666666666668
POE29.C18,0.37667435630280627,30.0,0.14182692307692313,27.5,0.0,24.0,0.03661945426800849,1.0,0.0721722408046428,5.0,20.933333333333334
POE19,0.7120385745544675,9.0,0.23076923076923073,6.0,0.0,24.0,0.016732590895401103,16.0,0.0,79.0,21.466666666666665
POE30.C18,0.5241657070725045,17.0,0.1766826923076923,17.0,0.0028645757901823994,23.0,0.010618414695982488,45.0,0.027811017640514857,19.0,22.2
POE23,0.7228938853640868,7.0,0.23317307692307687,5.0,0.10016806097599157,17.0,0.010973776281480954,40.0,0.0,79.0,22.466666666666665
POE18.SORBITAN,0.4282485020703942,22.0,0.15865384615384626,20.0,0.0,24.0,0.011364074194911972,34.0,0.01631735037372639,31.0,24.666666666666668
POE18,0.6606313017260218,11.0,0.21875,10.0,0.0,24.0,0.005899449618288841,70.0,0.011887782959873139,39.0,24.933333333333334
POE13,0.445290151271513,19.0,0.16346153846153844,18.0,0.0,24.0,0.012021911623598822,33.0,0.0022877023829430687,54.0,26.266666666666666
POE11,0.36223501665854835,37.0,0.13942307692307687,29.5,0.0,24.0,0.01724246039576306,14.0,0.04011773779538852,15.0,26.4
POE27.C16,0.529998749397097,16.0,0.18509615384615374,16.0,0.0,24.0,0.01282827747426029,28.0,0.0,79.0,27.6
POE28.C16,0.574270475646412,14.0,0.1923076923076923,14.0,0.0,24.0,0.011077165867599756,38.0,0.0,79.0,27.866666666666667
POE21.SORBITAN,0.3463739430426265,41.5,0.13461538461538458,34.5,0.6733317207411103,1.0,0.01111321773507841,37.0,0.02398904679456826,24.0,28.6
POE19.SORBITAN,0.3703205980996433,31.0,0.14182692307692313,27.5,0.0,24.0,0.011039396673641393,39.0,0.025954305667772237,23.0,28.666666666666668
POE28.C18,0.32766619028662297,47.0,0.12860576923076916,40.0,0.07605632643631906,19.0,0.028195490247723862,4.0,0.050141627672102285,11.0,29.0
POE12,0.39470366395481143,25.0,0.14903846153846156,22.0,0.0,24.0,0.008300813475883873,55.0,0.01518419565049789,33.0,29.066666666666666
POE27,0.713829857998013,8.0,0.2235576923076923,8.5,0.0,24.0,0.0032362400150005,80.0,0.0,79.0,30.4
POE14.C16,0.4369106388757633,21.0,0.1610576923076923,19.0,0.0,24.0,0.006109923180054886,69.0,0.010131099687493705,45.0,30.666666666666668
POE14,0.33076011875894196,45.5,0.1298076923076923,38.5,0.0,24.0,0.013899550661960667,24.0,0.08035866019425697,2.0,30.666666666666668
POE15,0.33076011875894196,45.5,0.1298076923076923,38.5,0.0,24.0,0.017621079803244958,13.0,0.043768398047565826,14.0,30.8
POE35.SORBITAN,0.36519436521879156,36.0,0.13942307692307687,29.5,0.30299274902177087,7.0,0.010844758223656534,43.0,0.0070422439181820895,47.0,30.866666666666667
POE24.C16,0.38655788741376224,27.0,0.14663461538461542,24.0,0.0,24.0,0.01669059023171931,17.0,0.0,79.0,31.2
POE30.C16,0.46364979409038504,18.0,0.13461538461538458,34.5,0.0,24.0,0.0,97.0,0.07456647425589691,4.0,32.266666666666666
POE30,0.40359388473195,24.0,0.14663461538461542,24.0,0.037453963087488225,20.0,0.010592799635396744,46.0,0.0,79.0,33.46666666666667
POE16.C16,0.3792553228627639,29.0,0.14423076923076916,26.0,0.0,24.0,0.00660572540118975,65.0,0.01068671571570623,43.0,33.86666666666667
POE19.C16,0.3385473862002583,43.0,0.13221153846153855,37.0,0.0,24.0,0.0067010994631283485,64.0,0.05835887532958939,8.0,35.733333333333334
POE22.SORBITAN,0.3864928241994904,28.0,0.14663461538461542,24.0,0.0,24.0,0.008895086183553606,52.0,0.0,79.0,36.13333333333333
POE26.SORBITAN,0.3230455462740593,49.0,0.12740384615384626,41.5,0.0,24.0,0.022162733357876815,8.0,0.0019410162559219124,56.0,37.46666666666667
POE13.C16,0.4380737945394786,20.0,0.10576923076923084,55.5,0.18680746977256715,13.0,0.0,97.0,0.02740497623632243,21.0,38.46666666666667
POE23.SORBITAN,0.35427349859489543,38.5,0.13701923076923084,31.5,0.0,24.0,0.011316496129195325,35.0,0.0,79.0,38.666666666666664
POE20.C16,0.3002790971354286,52.0,0.12019230769230771,45.0,0.0,24.0,0.0069568575864250425,63.0,0.06410166887243118,7.0,40.0
POE27.C18,0.2283172904402423,65.0,0.09615384615384626,59.5,0.0,24.0,0.020383815273007796,9.0,0.058355661029755534,9.0,40.4
POE31.C16,0.38674344000047645,26.0,0.09615384615384626,59.5,0.11416773729672071,16.0,0.0018736779049885427,87.0,0.026720805984548512,22.0,40.53333333333333
POE24.SORBITAN,0.35427349859489543,38.5,0.13701923076923084,31.5,0.0,24.0,0.008915128465351103,51.0,0.0,79.0,40.8
POE25.C18,0.2853898813012624,54.5,0.11538461538461542,48.5,0.0,24.0,0.016662995354203756,18.0,0.006241562436080095,49.0,41.2
POE32.SORBITAN,0.2424298373289519,62.0,0.10096153846153855,57.5,0.0,24.0,0.013177518805726202,26.0,0.05053545936597437,10.0,41.46666666666667
POE31.SORBITAN,0.30781035014779484,51.0,0.12259615384615374,44.0,0.0,24.0,0.012223708723171293,31.0,0.0018795233490600527,57.0,41.86666666666667
POE10,0.3463739430426265,41.5,0.13461538461538458,34.5,0.018240634192890483,21.0,0.008347913151731003,54.0,0.0,79.0,42.2
POE28,0.26273117524135875,59.0,0.10697115384615385,53.0,0.0,24.0,0.013074126789710806,27.0,0.011194955390284367,41.0,43.733333333333334
POE33.SORBITAN,0.2934796615647758,53.0,0.11778846153846145,47.0,0.0,24.0,0.006548353541630189,66.0,0.019608736409176153,28.0,44.0
POE25.C16,0.32309858452660534,48.0,0.12740384615384626,41.5,0.0,24.0,0.01084520561190918,42.0,0.0,79.0,44.8
POE20.SORBITAN,0.3463768132879752,40.0,0.13461538461538458,34.5,0.0,24.0,0.0033030801655890944,78.0,0.0,79.0,45.6
POE29,0.33719431877665207,44.0,0.11899038461538458,46.0,0.5513451650753121,4.0,0.0024060495432592175,84.0,0.0,79.0,46.53333333333333
POE26.C18,0.12534315358185033,73.0,0.05769230769230771,68.0,0.22268884200295846,11.0,0.012091685977447843,32.0,0.027410861136624387,20.0,46.733333333333334
POE25.SORBITAN,0.2853898813012624,54.5,0.11538461538461542,48.5,0.0,24.0,0.007918443752660131,57.0,0.004332275790038587,52.0,46.8
POE29.SORBITAN,0.2707526825487853,57.0,0.11057692307692313,51.0,0.0,24.0,0.014827488768309577,21.0,0.0,79.0,46.93333333333333
POE27.SORBITAN,0.24219981043377387,63.0,0.10096153846153855,57.5,0.0,24.0,0.010940984140142003,41.0,0.012625209410073168,37.0,47.333333333333336
POE17.C16,0.2565280192418502,61.0,0.10576923076923084,55.5,0.0,24.0,0.007922609353424334,56.0,0.012258848718237791,38.0,48.4
POE35.C16,0.3675511713925065,33.5,0.04807692307692313,71.5,0.2361347974886528,10.0,0.005412154092973116,71.0,0.0,79.0,50.0
POE34.SORBITAN,0.2613532466523765,60.0,0.10697115384615374,54.0,0.0,24.0,0.008437584968577948,53.0,0.00029028509604112074,58.0,50.0
POE18.C16,0.27822913676987315,56.0,0.11298076923076916,50.0,0.0,24.0,0.008994826956142628,50.0,0.0,79.0,50.266666666666666
POE34.C16,0.3675511713925065,33.5,0.04807692307692313,71.5,0.0,24.0,0.0024480877822146046,83.0,0.005363589614971964,50.0,50.53333333333333
POE14.ISOSORBITAN,0.11071188655054938,74.0,0.05168269230769229,69.0,0.2685053040016955,9.0,0.022578485819847786,7.0,0.0,79.0,51.4
POE36.SORBITAN,0.22374742919961657,66.0,0.09375,61.0,0.0,24.0,0.014198343513371958,22.0,0.0,79.0,52.13333333333333
POE26.C16,0.3163353273701601,50.0,0.125,43.0,0.0,24.0,0.0008016249364691952,91.0,0.0,79.0,52.266666666666666
POE28.SORBITAN,0.19451892720280736,68.0,0.08413461538461542,63.0,0.0,24.0,0.004866976445626518,74.0,0.02354232090396069,25.0,52.93333333333333
POE21.C16,0.15280563098226788,70.0,0.06850961538461542,66.0,0.0,24.0,0.0032418143596964137,79.0,0.032915428391397716,17.0,53.86666666666667
POE37.C16,0.3675511713925065,33.5,0.04807692307692313,71.5,0.0,24.0,0.0031413178202132825,81.0,0.0,79.0,54.13333333333333
POE23.C18,0.1496963162770651,72.0,0.06730769230769229,67.0,0.0,24.0,0.0063950926064865994,67.0,0.017977378486856876,30.0,54.8
POE12.ISOSORBITAN,0.05515165934849769,83.0,0.027644230769230838,80.0,0.0,24.0,0.016990805240843863,15.0,0.012919868423118874,36.0,55.06666666666667
POE15.C18,0.060292564481660746,82.0,0.030048076923076872,79.0,0.28898610685369036,8.0,0.031153948487162225,3.0,0.0,79.0,55.46666666666667
POE24.C18,0.06296995543214785,81.0,0.03125,77.0,0.0,24.0,0.007044519679491144,62.0,0.07849905331182128,3.0,55.6
POE36.C16,0.3675511713925065,33.5,0.04807692307692313,71.5,0.0,24.0,0.0,97.0,0.0,79.0,56.266666666666666
POE21.ISOSORBITAN,0.06414836534818524,79.0,0.03125,77.0,0.0,24.0,0.005209402062006964,72.0,0.06772746916585337,6.0,56.8
POE22.C16,0.2635329436141631,58.0,0.10817307692307687,52.0,0.0,24.0,0.0004336265360784204,92.0,0.0,79.0,56.93333333333333
POE23.C16,0.18794791931395305,69.0,0.08173076923076916,64.0,0.0,24.0,0.009508550780100296,48.0,0.0,79.0,57.2
POE20.C18,0.0471045045923595,85.0,0.024038461538461564,82.0,0.4114140032326013,5.0,0.01645658244919872,19.0,0.0,79.0,58.6
POE16.C18,0.03171882469906228,88.5,0.016826923076923128,87.0,0.16373579010527528,14.0,0.012336934933266087,29.0,0.011265791571368755,40.0,58.8
POE32.C16,0.15144074184907436,71.0,0.03846153846153855,74.5,0.0,24.0,0.0017588601309623613,88.0,0.019655490119059094,27.0,58.93333333333333
POE32.C18,0.2313979188504004,64.0,0.07091346153846145,65.0,0.0897150878015291,18.0,0.0019128839548302973,86.0,0.0,79.0,60.0
POE33.C18,0.09297482605257172,75.0,0.024038461538461453,83.0,0.0,24.0,0.001327573935338955,90.0,0.047620814280902035,13.0,60.666666666666664
