Model,CV_AUC,CV_std,Val_AUC,Sensitivity,Specificity
Logistic (L2),0.6623931623931624,0.1442394742545572,0.5235250186706497,0.5384615384615384,0.6116504854368932
Logistic (L1),0.6363247863247863,0.15115403342915065,0.47386109036594476,0.5384615384615384,0.5631067961165048
SVM Linear,0.5594017094017094,0.08355110707589701,0.6172516803584764,0.5,0.7378640776699029
SVM RBF,0.3965811965811966,0.1759812248002951,0.4350261389096341,0.7307692307692307,0.3106796116504854
Random Forest,0.6042735042735042,0.08549572265072605,0.506908140403286,0.8846153846153846,0.2815533980582524
Gradient Boosting,0.6132478632478632,0.21954335356990426,0.5862584017923822,0.6923076923076923,0.5048543689320388
XGBoost,0.5252136752136752,0.239119271813012,0.5899925317401046,0.6538461538461539,0.6116504854368932
