Model,CV_AUC,CV_std,Val_AUC,Sensitivity,Specificity
Logistic (L2),0.5974358974358974,0.26055622493251784,0.4256908140403286,0.9615384615384616,0.11650485436893204
Logistic (L1),0.5615384615384615,0.23880592721794977,0.4327856609410008,0.9615384615384616,0.11650485436893204
SVM Linear,0.6730769230769231,0.2762218091261973,0.5660941000746826,0.9230769230769231,0.33980582524271846
SVM RBF,0.602991452991453,0.212244784712351,0.5220313666915609,0.38461538461538464,0.8446601941747572
Random Forest,0.5245726495726496,0.1497282462966175,0.506908140403286,0.46153846153846156,0.6990291262135923
Gradient Boosting,0.48418803418803413,0.15137859684296937,0.5026138909634055,0.6923076923076923,0.39805825242718446
XGBoost,0.49743589743589733,0.31300435959515843,0.5041075429424944,0.5,0.5922330097087378
