,MW_score,MW_rank,Effect,Effect_rank,L1_coef,L1_rank,RF,RF_rank,MI,MI_rank,Avg_rank
POE14,1.9291549251348934,4.0,0.25574712643678166,3.0,0.9939127634748054,7.0,0.034708906602258685,3.0,0.03550932359163039,9.0,4.866666666666666
POE31.C18,2.2313127756302062,1.0,0.2479885057471265,5.0,0.35006987764081693,27.0,0.02680970824630152,6.0,0.03403247381387642,10.0,9.133333333333333
POE15,1.992539126621655,3.0,0.26091954022988495,1.0,0.0,56.0,0.021184309031839287,12.0,0.03203082855417416,11.0,15.333333333333334
POE12,1.6469254655756924,8.0,0.23160919540229874,8.0,0.0,56.0,0.035150303128219186,2.0,0.02919630125488215,13.0,17.466666666666665
POE17,1.663102388595218,7.0,0.23304597701149432,7.0,0.0,56.0,0.01353181588185989,28.0,0.0794701654908867,1.0,18.8
POE30.C18,2.112464536202411,2.0,0.2563218390804598,2.0,0.8075282486985897,13.0,0.01057911915081799,39.0,0.0,78.0,19.266666666666666
POE16,1.9256637716063756,5.0,0.2554597701149426,4.0,0.0,56.0,0.025701009105453042,7.0,0.009335800206651035,42.0,20.133333333333333
POE13,1.6989680381476946,6.0,0.2362068965517241,6.0,0.0,56.0,0.024447780164752936,8.0,0.010975561345619944,38.0,20.533333333333335
POE25.C18,1.4749436922998505,16.0,0.21580459770114935,13.0,1.1107798646754647,3.0,0.0020550226158303443,81.0,0.015146608427329733,30.0,23.133333333333333
POE35.SORBITAN,1.5454671455737128,11.0,0.219971264367816,11.0,0.8028123942178694,14.0,0.012040824421467979,32.0,0.0,78.0,23.333333333333332
POE26.SORBITAN,1.44676995917967,19.0,0.2132183908045977,17.0,0.0,56.0,0.01803925833178505,19.0,0.04071559536229685,7.0,24.266666666666666
POE24.SORBITAN,1.5017732416640166,13.0,0.21839080459770122,12.0,0.18510878279302578,42.0,0.00564151643031342,59.0,0.022133771893389165,21.0,25.733333333333334
POE22.SORBITAN,1.6420956199849335,9.0,0.23117816091954024,9.0,0.0,56.0,0.03541961811620692,1.0,0.0,78.0,26.533333333333335
POE11,1.4106574694854468,22.0,0.20977011494252884,20.0,0.0,56.0,0.022791353922927703,10.0,0.021148394254951297,23.0,26.8
POE33.SORBITAN,1.4351958156012101,20.0,0.21106321839080455,18.0,0.09703051101316464,49.0,0.021176560961357328,13.0,0.006591251978045776,48.0,28.066666666666666
POE18.SORBITAN,1.4779705942590655,15.0,0.21494252873563213,15.5,0.0,56.0,0.011772463355923066,34.0,0.010071625098772907,40.0,29.2
POE18.C16,1.3506778766347012,27.0,0.20201149425287346,26.0,0.0,56.0,0.030807450132429564,4.0,0.011962906217798164,33.0,30.266666666666666
POE30.SORBITAN,1.367913412793862,24.0,0.20560344827586197,23.0,1.0714227974761037,5.0,0.006771623329917139,57.0,0.0,78.0,31.533333333333335
POE29.SORBITAN,1.3691474354133608,23.0,0.2057471264367816,22.0,0.26657665020586424,33.0,0.015542971339322755,23.0,0.0,78.0,32.06666666666667
POE36.SORBITAN,1.3651920057019373,26.0,0.20071839080459775,28.0,0.5144398058235999,21.0,0.01348030308293052,29.0,0.0,78.0,32.86666666666667
POE19.SORBITAN,1.2918609033684756,35.0,0.1974137931034483,32.0,0.20345443955235187,40.0,0.013268306811828914,30.0,0.019986051496545088,26.0,33.333333333333336
POE10,1.2452114622184964,41.0,0.19339080459770108,40.0,0.39359744009854775,24.0,0.01999055825382777,16.0,0.01129331113305887,37.0,33.46666666666667
POE18,1.3368605379508773,28.0,0.20258620689655182,25.0,0.09104080458892536,50.0,0.008422697823597856,48.0,0.02027678336239247,25.0,33.86666666666667
POE16.C16,1.3129792058585583,31.0,0.19683908045977017,33.5,0.0,56.0,0.018404097292490554,17.0,0.020577686607467394,24.0,33.86666666666667
POE14.C18,1.2969630593641437,33.0,0.19568965517241388,35.5,0.5405479337142317,19.0,0.008307924515419318,50.0,0.009647620644235522,41.0,34.2
POE21.SORBITAN,1.4652434662959692,18.0,0.21494252873563213,15.5,0.1321648349506467,45.0,0.009770831066529633,44.0,0.0,78.0,34.2
POE24.C18,1.2538825648418626,40.0,0.1942528735632183,39.0,0.0,56.0,0.024207317286797335,9.0,0.0362258404228295,8.0,34.53333333333333
POE19,1.468037625118468,17.0,0.2152298850574712,14.0,0.0,56.0,0.004072999113312979,68.0,0.006560224242363244,49.0,35.06666666666667
POE27.SORBITAN,1.2920809451355397,34.0,0.19813218390804588,31.0,0.0,56.0,0.015787367620135006,22.0,0.017866960405673593,28.0,35.2
POE23.SORBITAN,1.4196564970274432,21.0,0.21063218390804606,19.0,0.0,56.0,0.010148296148971718,40.0,0.0,78.0,37.6
POE28.SORBITAN,1.2792230195537395,38.0,0.19683908045977017,33.5,0.3213394748577794,28.0,0.017246775023647427,21.0,0.0,78.0,37.86666666666667
POE20.SORBITAN,1.5526557195769268,10.0,0.22298850574712636,10.0,0.0,56.0,0.001957933763330782,84.0,0.0,78.0,38.13333333333333
POE15.C16,1.4852449664277463,14.0,0.2089080459770114,21.0,0.1952909064187484,41.0,0.0016557311409594563,87.0,0.0,78.0,39.53333333333333
POE17.C16,1.2415918388145801,42.0,0.1910919540229885,42.5,0.0,56.0,0.018114264887129146,18.0,0.016223736728961047,29.0,40.0
POE32.C18,1.5151297376059107,12.0,0.18146551724137927,53.0,0.23116158378824805,38.0,0.011438862387132358,35.0,0.0,78.0,40.0
POE19.C16,1.3353508987860172,29.0,0.2012931034482759,27.0,0.0,56.0,0.008120415131761668,54.0,0.004893962426202325,51.0,40.13333333333333
POE31.SORBITAN,1.3671400817113686,25.0,0.20545977011494254,24.0,0.0,56.0,0.008361214218942486,49.0,0.0,78.0,41.2
POE22.C18,1.0687452764802723,63.0,0.17471264367816097,59.5,2.1346782324560984,1.0,0.011348002525778795,37.0,0.019281518265519493,27.0,41.4
POE34.SORBITAN,1.2864078672972374,37.0,0.19568965517241388,35.5,0.0,56.0,0.008209239390843044,51.0,0.007803878859145241,45.0,43.333333333333336
POE24.C16,1.1898922397724825,50.0,0.18706896551724128,48.0,0.5095234734168765,22.0,0.004641850343806931,62.0,0.011697831609500664,35.0,43.46666666666667
POE15.C18,1.1831483494167423,51.0,0.18649425287356314,49.0,0.08123760629024547,52.0,0.009869479157659525,42.0,0.02926258052892816,12.0,44.266666666666666
POE21.C16,1.1811881429859323,52.0,0.18620689655172407,50.0,1.0908548893186487,4.0,0.009172326073281636,46.0,0.0,78.0,44.53333333333333
POE32.SORBITAN,1.3155756734743624,30.0,0.2001436781609196,29.0,0.0,56.0,0.0065061373052122395,58.0,0.0,78.0,45.06666666666667
POE17.C18,1.0668193482776187,64.0,0.1744252873563219,61.0,1.0569684250847584,6.0,0.013831713770558019,27.0,0.002612806266791168,53.0,45.2
POE14.C16,1.2870697310867372,36.0,0.1949712643678161,37.0,0.35460164698479263,26.0,0.0023265601144630316,77.0,0.0,78.0,45.333333333333336
POE26.C18,1.2309485052443738,43.0,0.19166666666666665,41.0,0.3198312126124643,29.0,0.006790208657830219,56.0,0.0,78.0,46.06666666666667
POE12.ISOSORBITAN,1.1424372251398287,55.0,0.1795977011494252,55.0,0.5198728029222033,20.0,0.004528546039751565,64.0,0.011831380360607158,34.0,46.4
POE16.C18,1.199449656559868,48.0,0.18836206896551722,46.0,0.0,56.0,0.017781791481848098,20.0,0.00025787333910787247,56.0,46.4
POE20,1.1404518913728172,56.0,0.18247126436781613,52.0,0.0,56.0,0.020500102660688718,14.0,0.011480526248212719,36.0,46.666666666666664
