Model,CV_AUC,CV_std,Val_AUC,Sensitivity,Specificity
Logistic (L2),0.5780239368474662,0.06456073230452522,0.6025943396226414,0.875,0.46226415094339623
Logistic (L1),0.5973039215686275,0.06402859431630316,0.5837264150943396,0.875,0.3867924528301887
SVM Linear,0.574875859434683,0.042667404088377915,0.5306603773584906,0.5,0.7547169811320755
SVM RBF,0.5899637127578303,0.08155992698757639,0.5471698113207547,0.5,0.6698113207547169
Random Forest,0.6178762414056532,0.08484238020085709,0.5336084905660378,0.5,0.660377358490566
Gradient Boosting,0.5837391774891776,0.07682515407742362,0.5,0.875,0.33962264150943394
XGBoost,0.5797014260249554,0.06887148574970851,0.6196933962264151,1.0,0.330188679245283
