Model,CV_AUC,CV_std,Val_AUC,Sensitivity,Specificity
Logistic (L2),0.599327731092437,0.065890391380641,0.5292395066110569,0.4745762711864407,0.6701570680628273
Logistic (L1),0.6215126050420168,0.07055153607818408,0.41760582127961665,1.0,0.02617801047120419
SVM Linear,0.5937394957983193,0.05323106573909977,0.6832904428077026,0.8135593220338984,0.518324607329843
SVM RBF,0.6072899159663866,0.0737994919806016,0.5586121217499335,0.5932203389830508,0.643979057591623
Random Forest,0.6034663865546218,0.10446319515170677,0.47590735646463744,0.5254237288135594,0.5654450261780105
Gradient Boosting,0.6068907563025211,0.08316426898555304,0.3425326115893158,1.0,0.020942408376963352
XGBoost,0.5657878151260505,0.08511466924341078,0.47861389653030434,0.1864406779661017,0.8691099476439791
