Model,CV_AUC,CV_std,Val_AUC,Sensitivity,Specificity
Logistic (L2),0.6101731601731603,0.06432458176904143,0.4925015529328246,0.5084745762711864,0.581151832460733
Logistic (L1),0.6324166030048384,0.05919870255133206,0.5198331706451327,0.4576271186440678,0.675392670157068
SVM Linear,0.6087789661319072,0.084077151680159,0.6490371816487709,0.8305084745762712,0.4816753926701571
SVM RBF,0.70579640947288,0.048347122090547714,0.5145975685508918,0.423728813559322,0.7905759162303665
Random Forest,0.6309746625923097,0.07140231716358623,0.4866891472180318,0.4576271186440678,0.612565445026178
Gradient Boosting,0.6072351667939904,0.09322189059492539,0.3479900612299229,1.0,0.005235602094240838
XGBoost,0.6034441049146931,0.10007387148130138,0.4406779661016949,0.9491525423728814,0.05759162303664921
