,MW_score,MW_rank,Effect,Effect_rank,L1_coef,L1_rank,RF,RF_rank,MI,MI_rank,Avg_rank
POE33.C16,0.03434194330193406,90.0,0.009615384615384581,96.0,0.0,17.0,0.002484324937243799,82.0,0.013487629556796055,44.0,69.8
POE16.ISOSORBITAN,0.011963213015834643,98.0,0.007211538461538547,97.5,0.0,17.0,0.010794194703695154,31.0,0.0,78.0,70.06666666666666
POE17.C18,0.026695837041890658,94.5,0.014423076923076872,93.0,0.0,17.0,0.007642856148949456,52.0,0.0,78.0,70.73333333333333
POE14.C18,0.0023642700187801046,102.0,0.0024038461538461453,101.5,0.0,17.0,0.008208332282568615,50.0,0.0019568341849287574,51.0,71.13333333333334
POE38.C16,0.09082535887935966,79.0,0.019230769230769273,88.0,0.0,17.0,0.0,98.5,0.0,78.0,71.46666666666667
POE19.ISOSORBITAN,0.04995085923496634,87.0,0.02524038461538458,84.0,0.0,17.0,0.0008080736910881488,94.0,0.0,78.0,71.93333333333334
POE17.ISOSORBITAN,0.021767200755990545,96.0,0.012019230769230727,95.0,0.0,17.0,0.0070118315435221375,58.0,0.0,78.0,72.46666666666667
POE34.C18,0.015473823077346753,97.0,0.004807692307692291,99.5,0.0,17.0,0.0,98.5,0.02205592637204279,31.0,73.06666666666666
POE22.ISOSORBITAN,0.0024522115757429058,101.0,0.0024038461538461453,101.5,0.0,17.0,0.0015454444883753738,89.0,0.019803716725176557,35.0,73.93333333333334
POE19.C18,0.007125660643273257,100.0,0.004807692307692291,99.5,0.0,17.0,0.007076241851860172,57.0,0.0,78.0,74.6
