model,n_features,train_auc,cv_auc,val_auc,sensitivity,specificity,features
SVM RBF,3,0.8725961538461539,0.8034188034188035,0.6530993278566094,0.6538461538461539,0.7572815533980582,"Asp_S, Sac_S, Suc_S"
XGBoost,4,0.9867788461538463,0.6782051282051282,0.6297610156833459,0.4230769230769231,0.912621359223301,"Asp_S, Sac_S, Suc_S, POE25"
Random Forest,11,0.9915865384615384,0.7871794871794873,0.6288274831964152,0.6923076923076923,0.6699029126213593,"Asp_S, Sac_S, Suc_S, POE25, POE21, POE24, POE13, POE29.C18, POE17, POE22, POE29.C16"
Logistic (L2),3,0.8341346153846154,0.7777777777777778,0.6228528752800597,0.6538461538461539,0.6699029126213593,"Asp_S, Sac_S, Suc_S"
SVM Linear,20,0.9014423076923077,0.8423076923076923,0.6228528752800597,0.6538461538461539,0.6019417475728155,"Asp_S, Sac_S, Suc_S, POE25, POE21, POE24, POE13, POE29.C18, POE17, POE22, POE29.C16, POE26, POE20, POE23, POE27, POE18, POE15.C16, POE27.C16, POE30.C18, POE16"
Logistic (L1),3,0.8305288461538463,0.7726495726495727,0.616504854368932,0.6538461538461539,0.6504854368932039,"Asp_S, Sac_S, Suc_S"
Gradient Boosting,4,0.9987980769230769,0.6444444444444445,0.6148244958924571,0.46153846153846156,0.8543689320388349,"Asp_S, Sac_S, Suc_S, POE25"
