Model,CV_AUC,CV_std,Val_AUC,Sensitivity,Specificity
Logistic (L2),0.6552731092436975,0.08413477104725366,0.5292395066110569,0.4745762711864407,0.6701570680628273
Logistic (L1),0.6690966386554622,0.09219622008724557,0.41760582127961665,1.0,0.02617801047120419
SVM Linear,0.6343697478991597,0.0682795216190266,0.6832904428077026,0.8135593220338984,0.518324607329843
SVM RBF,0.6540756302521009,0.09498908169281653,0.5586121217499335,0.5932203389830508,0.643979057591623
Random Forest,0.6526680672268907,0.10238508691985324,0.5012423462596504,0.423728813559322,0.6492146596858639
Gradient Boosting,0.6803991596638655,0.041830395307864095,0.3464814979146331,1.0,0.020942408376963352
XGBoost,0.6573529411764706,0.06259407861818449,0.47861389653030434,0.1864406779661017,0.8691099476439791
