,MW_score,MW_rank,Effect,Effect_rank,L1_coef,L1_rank,RF,RF_rank,MI,MI_rank,Avg_rank
POE14,1.9291549251348934,4.0,0.25574712643678166,3.0,0.994047360345358,7.0,0.02349141324191493,8.0,0.03550932359163039,12.0,5.933333333333334
POE15,1.992539126621655,3.0,0.26091954022988495,1.0,0.0,56.0,0.03618277495146505,1.0,0.03203082855417416,18.0,14.8
POE35.SORBITAN,1.5454671455737128,11.0,0.219971264367816,11.0,0.8028739719480159,14.0,0.009987774626665964,44.0,0.02249789858028306,24.0,17.733333333333334
POE12,1.6469254655756924,8.0,0.23160919540229874,8.0,0.0,56.0,0.02378722754211284,6.0,0.02919630125488215,19.0,18.8
POE25.C18,1.4749436922998505,16.0,0.21580459770114935,13.0,1.110787254663057,3.0,0.009750365014377638,46.0,0.012637201945960408,40.0,19.8
POE17,1.663102388595218,7.0,0.23304597701149432,7.0,0.0,56.0,0.011131966952623362,36.0,0.0794701654908867,1.0,19.866666666666667
POE30.C18,2.112464536202411,2.0,0.2563218390804598,2.0,0.807576766303736,13.0,0.00992723785152179,45.0,0.0,83.5,20.8
POE16,1.9256637716063756,5.0,0.2554597701149426,4.0,0.0,56.0,0.02171702511552434,10.0,0.009335800206651035,47.0,21.2
POE26.SORBITAN,1.44676995917967,19.0,0.2132183908045977,17.0,0.0,56.0,0.017126784740154923,15.0,0.04071559536229685,7.0,23.733333333333334
POE31.C18,2.2313127756302062,1.0,0.2479885057471265,5.0,0.35010496130832,27.0,0.008352010592946097,51.0,0.0,83.5,24.933333333333334
POE13,1.6989680381476946,6.0,0.2362068965517241,6.0,0.0,56.0,0.011683785458841911,35.0,0.010975561345619944,46.0,25.2
POE24.SORBITAN,1.5017732416640166,13.0,0.21839080459770122,12.0,0.1850223373200023,42.0,0.008124466323035075,52.0,0.022133771893389165,25.0,25.333333333333332
POE30.SORBITAN,1.367913412793862,24.0,0.20560344827586197,23.0,1.0714392273085152,5.0,0.016590941770752828,18.0,0.0,83.5,27.066666666666666
POE20.SORBITAN,1.5526557195769268,10.0,0.22298850574712636,10.0,0.0,56.0,0.014703402398811682,27.0,0.0026673582472855895,58.0,27.866666666666667
POE33.SORBITAN,1.4351958156012101,20.0,0.21106321839080455,18.0,0.09692327980691022,49.0,0.023521405308335623,7.0,0.00024954918760133893,67.0,29.8
POE15.C16,1.4852449664277463,14.0,0.2089080459770114,21.0,0.1952601763425917,41.0,0.009481901580256826,47.0,0.011210540368535638,45.0,29.8
POE19,1.468037625118468,17.0,0.2152298850574712,14.0,0.0,56.0,0.014847795028959956,26.0,0.006560224242363244,52.0,29.866666666666667
POE18.C16,1.3506778766347012,27.0,0.20201149425287346,26.0,0.0,56.0,0.02802159208490946,3.0,0.01959846952156097,31.0,29.866666666666667
POE22.SORBITAN,1.6420956199849335,9.0,0.23117816091954024,9.0,0.0,56.0,0.01388385348040643,29.0,0.0,83.5,31.0
POE18,1.3368605379508773,28.0,0.20258620689655182,25.0,0.09112238564602768,50.0,0.015467257102294085,23.0,0.02027678336239247,29.0,31.066666666666666
POE11,1.4106574694854468,22.0,0.20977011494252884,20.0,0.0,56.0,0.010768560605260708,40.0,0.021148394254951297,27.0,31.333333333333332
POE29.SORBITAN,1.3691474354133608,23.0,0.2057471264367816,22.0,0.2665283027923179,33.0,0.015895098187978355,19.0,0.0,83.5,32.266666666666666
POE19.SORBITAN,1.2918609033684756,35.0,0.1974137931034483,32.0,0.20350763725507998,40.0,0.015456942707967124,24.0,0.020801598590553194,28.0,32.8
