Model,CV_AUC,CV_std,Val_AUC,Sensitivity,Specificity
Logistic (L2),0.570063025210084,0.07333967115619663,0.5978773584905661,0.75,0.5094339622641509
Logistic (L1),0.60609243697479,0.08397340279908246,0.5636792452830188,0.625,0.5943396226415094
SVM Linear,0.5777310924369747,0.07249707483585573,0.5141509433962264,0.5,0.6415094339622641
SVM RBF,0.6410504201680671,0.06209262405705525,0.6073113207547169,0.875,0.41509433962264153
Random Forest,0.6456302521008404,0.05617214932186497,0.5294811320754716,0.5,0.6415094339622641
Gradient Boosting,0.6446953781512605,0.029583121773222375,0.5141509433962264,0.875,0.3490566037735849
XGBoost,0.5979096638655462,0.06403953040109958,0.554245283018868,0.75,0.44339622641509435
