Model,CV_AUC,CV_std,Val_AUC,Sensitivity,Specificity
Logistic (L2),0.6226731601731601,0.13337398207193196,0.5554245283018868,0.75,0.4811320754716981
Logistic (L1),0.6329354469060352,0.1254157592279708,0.5377358490566038,1.0,0.2830188679245283
SVM Linear,0.623943213649096,0.1509733345912961,0.5141509433962264,0.75,0.4339622641509434
SVM RBF,0.6660427807486632,0.07923539134255152,0.5577830188679245,0.625,0.5943396226415094
Random Forest,0.6153170359052711,0.09146163830425724,0.508254716981132,0.375,0.8018867924528302
Gradient Boosting,0.6101110898905017,0.07813813336313692,0.5170990566037736,1.0,0.16037735849056603
XGBoost,0.6051231856378916,0.07558131539548094,0.5742924528301887,1.0,0.2830188679245283
