model,n_features,train_auc,val_auc,sensitivity,specificity,threshold
XGBoost,3,0.9735576923076923,0.7761389096340552,0.8076923076923077,0.6407766990291263,0.23519299924373627
Gradient Boosting,3,0.9945913461538461,0.7466392830470501,0.6538461538461539,0.7961165048543689,0.11731230277736487
Random Forest,3,0.951923076923077,0.7275952203136669,0.5769230769230769,0.8446601941747572,0.39246848573265536
SVM RBF,12,0.8677884615384616,0.7214339058999254,0.5384615384615384,0.912621359223301,0.21666037627957432
SVM Linear,15,0.7944711538461539,0.7068707991038089,0.46153846153846156,0.9223300970873787,0.19702638451354548
Logistic (L2),15,0.7884615384615384,0.6796116504854368,0.6538461538461539,0.6990291262135923,0.4322322244558776
Logistic (L1),3,0.7788461538461539,0.6534727408513816,0.6538461538461539,0.7378640776699029,0.41179686952494665
