Model,CV_AUC,CV_std,Val_AUC,Sensitivity,Specificity
Logistic (L2),0.6223834988540871,0.10952414589042846,0.5766509433962264,0.875,0.3867924528301887
Logistic (L1),0.634008148714031,0.10975585020416904,0.5766509433962264,0.75,0.5094339622641509
SVM Linear,0.5995511841100075,0.1299314757098236,0.5825471698113208,1.0,0.2641509433962264
SVM RBF,0.6429812834224599,0.11482725048495843,0.6403301886792453,0.875,0.42452830188679247
Random Forest,0.6225012732365673,0.11184117182638266,0.5577830188679245,1.0,0.2641509433962264
Gradient Boosting,0.5735453272217977,0.07349211879905723,0.4852594339622642,0.875,0.32075471698113206
XGBoost,0.5477718360071302,0.08952660331837846,0.5153301886792453,1.0,0.1509433962264151
