Model,CV_AUC,CV_std,Val_AUC,Sensitivity,Specificity
Logistic (L2),0.6174579831932773,0.042322021693577225,0.5292395066110569,0.4745762711864407,0.6701570680628273
Logistic (L1),0.6427100840336134,0.053274494265867486,0.41760582127961665,1.0,0.02617801047120419
SVM Linear,0.6218487394957982,0.05413943399850433,0.6832904428077026,0.8135593220338984,0.518324607329843
SVM RBF,0.6299579831932773,0.10687448676457822,0.5586121217499335,0.5932203389830508,0.643979057591623
Random Forest,0.6141596638655463,0.08147879507596181,0.4807880024846925,0.4406779661016949,0.643979057591623
Gradient Boosting,0.5858193277310925,0.12279189817634611,0.3470139320259118,1.0,0.020942408376963352
XGBoost,0.587720588235294,0.11672459857111593,0.47861389653030434,0.1864406779661017,0.8691099476439791
