Model,CV_AUC,CV_std,Val_AUC,Sensitivity,Specificity
Logistic (L2),0.6315126050420167,0.04941826687910705,0.5908018867924528,0.75,0.5849056603773585
Logistic (L1),0.6352310924369748,0.045518263305287666,0.5648584905660377,0.625,0.5943396226415094
SVM Linear,0.6741596638655462,0.0947043351375707,0.535377358490566,1.0,0.22641509433962265
SVM RBF,0.6042436974789915,0.11702343719428446,0.5707547169811321,0.75,0.49056603773584906
Random Forest,0.6448319327731092,0.1040249797872817,0.5389150943396226,1.0,0.2641509433962264
Gradient Boosting,0.6215126050420168,0.07867801044145006,0.49528301886792453,0.625,0.49056603773584906
XGBoost,0.5828781512605042,0.0747443740577657,0.5165094339622641,1.0,0.2641509433962264
