Model,CV_AUC,CV_std,Val_AUC,Sensitivity,Specificity
Logistic (L2),0.5810294117647059,0.13096513965917,0.5292395066110569,0.4745762711864407,0.6701570680628273
Logistic (L1),0.6102941176470589,0.1367994573050658,0.41760582127961665,1.0,0.02617801047120419
SVM Linear,0.5666176470588236,0.14689562372952034,0.6832904428077026,0.8135593220338984,0.518324607329843
SVM RBF,0.6103151260504202,0.10832557791747983,0.5586121217499335,0.5932203389830508,0.643979057591623
Random Forest,0.6081512605042017,0.14833540453731417,0.4948975064335789,0.4915254237288136,0.6282722513089005
Gradient Boosting,0.49138655462184877,0.08537937639728412,0.344706717543704,1.0,0.020942408376963352
XGBoost,0.46876050420168075,0.08265028959008068,0.47861389653030434,0.1864406779661017,0.8691099476439791
