model,n_features,train_auc,cv_auc,val_auc,sensitivity,specificity,features
SVM Linear,12,0.43313609467455627,0.3846153846153846,0.5943739462241547,0.8135593220338984,0.4293193717277487,"POE25, POE22, POE28.C16, POE21, POE26, POE17, POE20, POE24, POE11, POE27, POE23, POE13"
Logistic (L1),18,0.6177514792899408,0.3948717948717948,0.5721004525689947,0.8135593220338984,0.4031413612565445,"POE25, POE22, POE28.C16, POE21, POE26, POE17, POE20, POE24, POE11, POE27, POE23, POE13, POE14, POE19, POE29.C18, POE18.SORBITAN, POE31.C18, POE29.C16"
Logistic (L2),17,0.6579881656804734,0.5410256410256411,0.5646463750110924,0.6779661016949152,0.5130890052356021,"POE25, POE22, POE28.C16, POE21, POE26, POE17, POE20, POE24, POE11, POE27, POE23, POE13, POE14, POE19, POE29.C18, POE18.SORBITAN, POE31.C18"
Random Forest,18,0.9846153846153847,0.6,0.5597657289910374,0.4406779661016949,0.7539267015706806,"POE25, POE22, POE28.C16, POE21, POE26, POE17, POE20, POE24, POE11, POE27, POE23, POE13, POE14, POE19, POE29.C18, POE18.SORBITAN, POE31.C18, POE29.C16"
SVM RBF,12,0.3029585798816568,0.5538461538461539,0.5587895997870264,0.8305084745762712,0.38219895287958117,"POE25, POE22, POE28.C16, POE21, POE26, POE17, POE20, POE24, POE11, POE27, POE23, POE13"
XGBoost,19,1.0,0.4435897435897436,0.5295057236666962,0.9661016949152542,0.13612565445026178,"POE25, POE22, POE28.C16, POE21, POE26, POE17, POE20, POE24, POE11, POE27, POE23, POE13, POE14, POE19, POE29.C18, POE18.SORBITAN, POE31.C18, POE29.C16, POE15.C16"
Gradient Boosting,20,1.0,0.47435897435897434,0.5073653385393557,0.3898305084745763,0.7068062827225131,"POE25, POE22, POE28.C16, POE21, POE26, POE17, POE20, POE24, POE11, POE27, POE23, POE13, POE14, POE19, POE29.C18, POE18.SORBITAN, POE31.C18, POE29.C16, POE15.C16, POE15"
