,MW_score,MW_rank,Effect,Effect_rank,L1_coef,L1_rank,RF,RF_rank,MI,MI_rank,Avg_rank
POE14,1.9291549251348934,4.0,0.25574712643678166,3.0,0.9957720885422071,7.0,0.03680857609621728,1.0,0.03550932359163039,9.0,4.6
POE31.C18,2.2313127756302062,1.0,0.2479885057471265,5.0,0.3500431758953026,27.0,0.023386938686494715,4.0,0.056723691051031144,2.0,7.8
POE15,1.992539126621655,3.0,0.26091954022988495,1.0,0.0,56.0,0.027975454929391748,3.0,0.03203082855417416,13.0,14.4
POE17,1.663102388595218,7.0,0.23304597701149432,7.0,0.0,56.0,0.02297802635659704,5.0,0.0794701654908867,1.0,15.733333333333333
POE30.C18,2.112464536202411,2.0,0.2563218390804598,2.0,0.8077169419771099,13.0,0.012503004269438941,30.0,0.0,80.5,18.4
POE12,1.6469254655756924,8.0,0.23160919540229874,8.0,0.0,56.0,0.021686941055451617,10.0,0.02919630125488215,17.0,19.066666666666666
POE24.SORBITAN,1.5017732416640166,13.0,0.21839080459770122,12.0,0.1848315458815309,42.0,0.022710090227002974,6.0,0.022133771893389165,25.0,19.2
POE13,1.6989680381476946,6.0,0.2362068965517241,6.0,0.0,56.0,0.022520661728105292,7.0,0.010975561345619944,44.0,21.2
POE35.SORBITAN,1.5454671455737128,11.0,0.219971264367816,11.0,0.8027957912421976,14.0,0.018309370943709456,14.0,0.0,80.5,21.266666666666666
POE26.SORBITAN,1.44676995917967,19.0,0.2132183908045977,17.0,0.0,56.0,0.01632048636688012,19.0,0.04071559536229685,5.0,24.0
POE25.C18,1.4749436922998505,16.0,0.21580459770114935,13.0,1.1107738330725119,3.0,0.003617653722839881,80.0,0.00846733235553021,50.0,25.666666666666668
POE16,1.9256637716063756,5.0,0.2554597701149426,4.0,0.0,56.0,0.009155564861530328,48.0,0.009335800206651035,46.0,26.133333333333333
POE11,1.4106574694854468,22.0,0.20977011494252884,20.0,0.0,56.0,0.03584085461454675,2.0,0.021148394254951297,27.0,26.266666666666666
POE20.SORBITAN,1.5526557195769268,10.0,0.22298850574712636,10.0,0.0,56.0,0.012189377937344068,31.0,0.006898050970969072,54.0,27.866666666666667
POE18,1.3368605379508773,28.0,0.20258620689655182,25.0,0.09259232285663478,50.0,0.017653914519947234,16.0,0.02027678336239247,29.0,30.133333333333333
POE22.SORBITAN,1.6420956199849335,9.0,0.23117816091954024,9.0,0.0,56.0,0.013506938427871833,27.0,0.0,80.5,30.333333333333332
POE30.SORBITAN,1.367913412793862,24.0,0.20560344827586197,23.0,1.071589380148797,5.0,0.008855773408687281,50.0,0.0,80.5,30.933333333333334
POE33.SORBITAN,1.4351958156012101,20.0,0.21106321839080455,18.0,0.09692431573920346,49.0,0.01195127055891959,32.0,0.003271288898170077,58.0,31.933333333333334
POE36.SORBITAN,1.3651920057019373,26.0,0.20071839080459775,28.0,0.5145954413446224,21.0,0.014156032713370967,25.0,0.0,80.5,32.666666666666664
POE19,1.468037625118468,17.0,0.2152298850574712,14.0,0.0,56.0,0.009829303290954572,45.0,0.006560224242363244,55.0,32.8
POE10,1.2452114622184964,41.0,0.19339080459770108,40.0,0.39425951787276836,24.0,0.01974172483564722,11.0,0.01129331113305887,42.0,33.46666666666667
POE18.SORBITAN,1.4779705942590655,15.0,0.21494252873563213,15.5,0.0,56.0,0.012568031299614806,29.0,0.0,80.5,33.93333333333333
