,MW_score,MW_rank,Effect,Effect_rank,L1_coef,L1_rank,RF,RF_rank,MI,MI_rank,Avg_rank
POE14,1.9761643422658872,3.0,0.2633195148165208,2.0,0.4393482935314969,14.0,0.03473494927279922,3.0,0.04781370765961879,6.0,5.333333333333333
POE15,2.0211128780200776,1.0,0.26700445263319517,1.0,0.0,41.0,0.021871895513642072,10.0,0.045825734670509766,8.0,11.133333333333333
POE17,1.7240707936461481,6.0,0.24182404421925385,4.0,0.0,41.0,0.02884812200531923,4.0,0.07905288295819801,1.0,11.533333333333333
POE12,1.6348076035988202,9.0,0.23384001228312612,6.0,0.0,41.0,0.022544823510823084,9.0,0.040661659546151085,12.0,15.0
POE31.C18,1.9794472295348549,2.0,0.23230462152617837,7.0,0.4890283717178497,13.0,0.02443783343936563,5.0,0.0,78.5,16.133333333333333
POE16,1.9724415930199957,4.0,0.2630124366651312,3.0,0.0,41.0,0.038671338747708735,2.0,0.005617969495168351,50.0,17.0
POE35.SORBITAN,1.6449710276795504,8.0,0.23184400429909413,9.0,0.27536107105918234,20.0,0.009023605228048267,49.0,0.03201042927575104,16.0,17.2
POE30.C18,1.7722045677417937,5.0,0.23199754337478895,8.0,0.4919504260041269,12.0,0.01039900357278028,40.0,0.006223374535575976,48.0,17.6
POE24.SORBITAN,1.4891046858908572,13.0,0.22032857362198688,12.0,0.0,41.0,0.01495335983554622,20.0,0.01871000941479828,32.0,21.8
POE26.SORBITAN,1.4601266476529067,17.0,0.217564870259481,15.0,0.0,41.0,0.012436780999249646,28.0,0.02347687875783122,24.0,23.666666666666668
POE13,1.7067215984338138,7.0,0.2402886534623061,5.0,0.0,41.0,0.009435766669928696,47.0,0.009229574147278319,46.0,23.8
POE19,1.5020703833832207,11.0,0.221556886227545,11.0,0.0,41.0,0.009862503936384324,41.0,0.0063945695640499345,47.0,25.8
POE36.SORBITAN,1.4808624071431047,15.0,0.21418701059419631,16.0,0.5053011607504554,10.0,0.010464149320290949,38.0,0.0,78.5,25.8
