,MW_score,MW_rank,Effect,Effect_rank,L1_coef,L1_rank,RF,RF_rank,MI,MI_rank,Avg_rank
POE14,1.9291549251348934,4.0,0.25574712643678166,3.0,0.9950435131123974,7.0,0.020988301977304214,13.0,0.03550932359163039,9.0,6.2
POE25.C18,1.4749436922998505,16.0,0.21580459770114935,13.0,1.1107543622965015,3.0,0.017482144560414796,21.0,0.039410441686489994,8.0,12.2
POE15,1.992539126621655,3.0,0.26091954022988495,1.0,0.0,56.0,0.034041990141062815,1.0,0.03203082855417416,11.0,13.866666666666667
POE31.C18,2.2313127756302062,1.0,0.2479885057471265,5.0,0.35001723569236715,27.0,0.00904545402507947,43.0,0.021560781668551465,21.0,15.533333333333333
POE17,1.663102388595218,7.0,0.23304597701149432,7.0,0.0,56.0,0.026919713748679158,5.0,0.0794701654908867,1.0,15.733333333333333
POE30.C18,2.112464536202411,2.0,0.2563218390804598,2.0,0.807600414811577,13.0,0.015062720347210547,27.0,0.0,80.0,17.933333333333334
POE12,1.6469254655756924,8.0,0.23160919540229874,8.0,0.0,56.0,0.02186524285439845,10.0,0.02919630125488215,14.0,18.666666666666668
POE24.SORBITAN,1.5017732416640166,13.0,0.21839080459770122,12.0,0.18484649342408038,42.0,0.02094743184432501,14.0,0.022133771893389165,20.0,19.6
POE16,1.9256637716063756,5.0,0.2554597701149426,4.0,0.0,56.0,0.02520171427393878,6.0,0.009335800206651035,50.0,21.066666666666666
POE13,1.6989680381476946,6.0,0.2362068965517241,6.0,0.0,56.0,0.02405391778478783,8.0,0.010975561345619944,45.0,21.466666666666665
POE11,1.4106574694854468,22.0,0.20977011494252884,20.0,0.0,56.0,0.029305597933917866,2.0,0.021148394254951297,22.0,25.6
POE26.SORBITAN,1.44676995917967,19.0,0.2132183908045977,17.0,0.0,56.0,0.011324774571427124,37.0,0.04071559536229685,6.0,26.533333333333335
POE33.SORBITAN,1.4351958156012101,20.0,0.21106321839080455,18.0,0.0970463231139611,49.0,0.017999021642124958,20.0,0.009877415313579885,48.0,29.0
POE35.SORBITAN,1.5454671455737128,11.0,0.219971264367816,11.0,0.8027823787425252,14.0,0.003290273491487441,77.0,0.0,80.0,29.6
