Model,CV_AUC,CV_std,Val_AUC,Sensitivity,Specificity
Logistic (L2),0.7170940170940171,0.15590736960404245,0.40589992531740104,1.0,0.038834951456310676
Logistic (L1),0.6888888888888889,0.15979477670617334,0.4174757281553398,1.0,0.038834951456310676
SVM Linear,0.7012820512820512,0.16674554346552933,0.5317401045556385,0.8846153846153846,0.3300970873786408
SVM RBF,0.635042735042735,0.052031559846921094,0.5,0.4230769230769231,0.7766990291262136
Random Forest,0.5935897435897435,0.18532626666248875,0.5125093353248693,0.5,0.6310679611650486
Gradient Boosting,0.5510683760683761,0.11453948167720424,0.44660194174757284,0.5769230769230769,0.5048543689320388
XGBoost,0.5057692307692307,0.1650861946878921,0.46938013442867815,0.6538461538461539,0.46601941747572817
