seed,best_model,best_val_auc,best_sensitivity,best_specificity,best_cv_auc,selected_features
159,Gradient Boosting,0.6967886482449589,0.7307692307692307,0.6310679611650486,0.632905982905983,"POE25, POE31.C18, POE26..."
178,Gradient Boosting,0.6967886482449589,0.7307692307692307,0.6310679611650486,0.6017094017094017,"POE25, POE26, POE31.C18..."
4,SVM Linear,0.6710231516056759,0.6538461538461539,0.6796116504854369,0.5705128205128205,"POE26, POE20, POE21..."
73,SVM Linear,0.6706497386109036,0.6153846153846154,0.7184466019417476,0.5910256410256409,"POE25, POE21, POE20..."
184,SVM Linear,0.6706497386109036,0.6153846153846154,0.7184466019417476,0.6277777777777777,"POE25, POE21, POE20..."
173,SVM Linear,0.6706497386109036,0.6153846153846154,0.7184466019417476,0.5384615384615384,"POE25, POE20, POE21..."
200,XGBoost,0.6493651979088872,0.8846153846153846,0.4368932038834951,0.592094017094017,"POE25, POE26, POE15.C16..."
171,XGBoost,0.6493651979088872,0.8846153846153846,0.4368932038834951,0.4799145299145299,"POE25, POE15.C16, POE26..."
67,XGBoost,0.6493651979088872,0.8846153846153846,0.4368932038834951,0.5143162393162393,"POE25, POE26, POE15.C16..."
152,XGBoost,0.6493651979088872,0.8846153846153846,0.4368932038834951,0.561965811965812,"POE25, POE15.C16, POE26..."
170,XGBoost,0.6493651979088872,0.8846153846153846,0.4368932038834951,0.5410256410256411,"POE25, POE26, POE15.C16..."
56,XGBoost,0.6493651979088872,0.8846153846153846,0.4368932038834951,0.5615384615384615,"POE25, POE26, POE15.C16..."
192,XGBoost,0.6493651979088872,0.8846153846153846,0.4368932038834951,0.5707264957264957,"POE25, POE15.C16, POE26..."
5,XGBoost,0.6493651979088872,0.8846153846153846,0.4368932038834951,0.4799145299145299,"POE25, POE15.C16, POE26..."
172,XGBoost,0.638722927557879,0.6153846153846154,0.6504854368932039,0.6367521367521367,"POE25, POE26, POE29.C16..."
107,XGBoost,0.638722927557879,0.6153846153846154,0.6504854368932039,0.6891025641025641,"POE25, POE29.C16, POE26..."
58,XGBoost,0.638722927557879,0.6153846153846154,0.6504854368932039,0.5961538461538461,"POE25, POE26, POE29.C16..."
61,XGBoost,0.638722927557879,0.6153846153846154,0.6504854368932039,0.5476495726495727,"POE29.C16, POE26, POE25..."
199,XGBoost,0.638722927557879,0.6153846153846154,0.6504854368932039,0.6371794871794872,"POE25, POE26, POE29.C16..."
76,XGBoost,0.638722927557879,0.6153846153846154,0.6504854368932039,0.47585470085470083,"POE25, POE29.C16, POE26..."
