Model,CV_AUC,CV_std,Val_AUC,Sensitivity,Specificity
Logistic (L2),0.6290329768270945,0.1274140934866163,0.5966981132075472,0.875,0.5
Logistic (L1),0.6404570919276802,0.13281458093883128,0.5683962264150944,0.625,0.6037735849056604
SVM Linear,0.6387859689330277,0.11908009849045101,0.5165094339622641,0.75,0.44339622641509435
SVM RBF,0.6429526355996945,0.09914280161129062,0.5919811320754718,1.0,0.29245283018867924
Random Forest,0.5775464731347085,0.0927858741417704,0.5790094339622641,1.0,0.2830188679245283
Gradient Boosting,0.5222052457346574,0.11687200908263348,0.46344339622641506,0.625,0.5283018867924528
XGBoost,0.5446062515915457,0.1157696553559186,0.5277122641509434,1.0,0.2358490566037736
