model,n_features,train_auc,val_auc,sensitivity,specificity,threshold
SVM RBF,3,0.84375,0.6949215832710978,0.5384615384615384,0.8543689320388349,0.2139075328472729
Logistic (L2),3,0.828125,0.6598207617625094,0.5,0.8932038834951457,0.6028105802656198
SVM Linear,14,0.8762019230769231,0.633681852128454,0.6538461538461539,0.6699029126213593,0.1740652026826589
XGBoost,4,0.9867788461538463,0.6293876026885736,0.4230769230769231,0.912621359223301,0.7151320576667786
Logistic (L1),3,0.8509615384615385,0.6239731142643764,0.5769230769230769,0.7766990291262136,0.5395622458464658
Gradient Boosting,4,0.9987980769230769,0.6172516803584764,0.46153846153846156,0.8446601941747572,0.21804171514717574
Random Forest,9,0.9891826923076923,0.6314413741598208,0.6153846153846154,0.7572815533980582,0.3914805536608206
