model,n_features,train_auc,val_auc,sensitivity,specificity,threshold
SVM RBF,3,0.84375,0.6949215832710978,0.5384615384615384,0.8543689320388349,0.2139075328472729
XGBoost,4,0.9867788461538463,0.6293876026885736,0.4230769230769231,0.912621359223301,0.7151320576667786
Random Forest,11,0.9927884615384616,0.632188200149365,0.6923076923076923,0.6601941747572816,0.2895484082081516
Logistic (L2),3,0.828125,0.6598207617625094,0.5,0.8932038834951457,0.6028105802656198
SVM Linear,20,0.9158653846153847,0.611650485436893,0.5,0.7669902912621359,0.20601381303261435
Logistic (L1),3,0.8509615384615385,0.6239731142643764,0.5769230769230769,0.7766990291262136,0.5395622458464658
Gradient Boosting,4,0.9987980769230769,0.6172516803584764,0.46153846153846156,0.8446601941747572,0.21804171514717574
