Model,CV_AUC,CV_std,Train_AUC,Val_AUC,Gap
SVM RBF,0.5175213675213676,0.11500729696364259,0.921875,0.7229275578790142,0.1989474421209858
XGBoost,0.5042735042735043,0.05853296980603053,1.0,0.688200149365198,0.311799850634802
SVM Linear,0.5482905982905983,0.14915448261100675,0.8269230769230769,0.6818521284540702,0.1450709484690067
Logistic (L2),0.6346153846153847,0.16587583579113716,0.825721153846154,0.6684092606422704,0.1573118932038836
Gradient Boosting,0.47820512820512817,0.1641626492565037,1.0,0.6629947722180731,0.3370052277819269
Logistic (L1),0.623931623931624,0.15164618882883335,0.8004807692307692,0.6362957430918595,0.16418502613890962
Random Forest,0.5589743589743589,0.11512791959304436,0.9951923076923077,0.6325616131441374,0.3626306945481703
