model,n_features,train_auc,cv_auc,val_auc,sensitivity,specificity,features
XGBoost,3,0.9699519230769231,0.5320512820512822,0.777259148618372,0.8076923076923077,0.6504854368932039,"Suc_S, POE25, Sac_S"
Gradient Boosting,3,0.9945913461538461,0.6153846153846153,0.7462658700522777,0.6538461538461539,0.7961165048543689,"Suc_S, POE25, Sac_S"
Random Forest,5,0.9747596153846154,0.6205128205128204,0.7283420463032114,0.6153846153846154,0.8349514563106796,"Suc_S, POE25, Sac_S, POE17, POE26"
SVM RBF,6,0.8545673076923077,0.5623931623931623,0.7214339058999253,0.6923076923076923,0.7475728155339806,"Suc_S, POE25, Sac_S, POE17, POE26, POE20"
SVM Linear,4,0.7800480769230769,0.6662393162393163,0.7162061239731143,0.6153846153846154,0.7961165048543689,"Suc_S, POE25, Sac_S, POE17"
Logistic (L2),4,0.7884615384615384,0.6914529914529914,0.6900672143390589,0.6538461538461539,0.7572815533980582,"Suc_S, POE25, Sac_S, POE17"
Logistic (L1),3,0.7788461538461539,0.7209401709401708,0.6534727408513816,0.6538461538461539,0.7378640776699029,"Suc_S, POE25, Sac_S"
