,MW_score,MW_rank,Effect,Effect_rank,L1_coef,L1_rank,RF,RF_rank,MI,MI_rank,Avg_rank
POE14,1.9291549251348934,4.0,0.25574712643678166,3.0,0.9931371189002985,7.0,0.02867703139066179,3.0,0.03550932359163039,12.0,5.266666666666667
POE15,1.992539126621655,3.0,0.26091954022988495,1.0,0.0,56.0,0.02252605191447246,6.0,0.03203082855417416,13.0,14.8
POE30.C18,2.112464536202411,2.0,0.2563218390804598,2.0,0.807322068632366,13.0,0.017175634661123252,13.0,0.0,79.5,16.0
POE17,1.663102388595218,7.0,0.23304597701149432,7.0,0.0,56.0,0.01600551509668523,19.0,0.0794701654908867,1.0,17.6
POE31.C18,2.2313127756302062,1.0,0.2479885057471265,5.0,0.3499561593028244,27.0,0.023155410896678955,5.0,0.0,79.5,18.266666666666666
POE12,1.6469254655756924,8.0,0.23160919540229874,8.0,0.0,56.0,0.02058756668248709,9.0,0.02919630125488215,14.0,18.533333333333335
POE35.SORBITAN,1.5454671455737128,11.0,0.219971264367816,11.0,0.802792173923407,14.0,0.0119009521945302,33.0,0.007649490643841572,41.0,18.533333333333335
POE16,1.9256637716063756,5.0,0.2554597701149426,4.0,0.0,56.0,0.01465915363009386,23.0,0.009335800206651035,39.0,21.866666666666667
POE25.C18,1.4749436922998505,16.0,0.21580459770114935,13.0,1.1107136754792466,3.0,0.014050650393912161,27.0,0.0,79.5,22.533333333333335
POE15.C16,1.4852449664277463,14.0,0.2089080459770114,21.0,0.19533329826306522,41.0,0.011479332256002235,36.0,0.05298698502059995,3.0,22.733333333333334
POE24.SORBITAN,1.5017732416640166,13.0,0.21839080459770122,12.0,0.18478139262679472,42.0,0.010410110545881457,42.0,0.022133771893389165,18.0,23.066666666666666
POE13,1.6989680381476946,6.0,0.2362068965517241,6.0,0.0,56.0,0.012849064789023814,30.0,0.010975561345619944,36.0,23.2
POE11,1.4106574694854468,22.0,0.20977011494252884,20.0,0.0,56.0,0.018012468099067803,12.0,0.021148394254951297,19.0,26.533333333333335
POE19,1.468037625118468,17.0,0.2152298850574712,14.0,0.0,56.0,0.018938438746081625,10.0,0.006560224242363244,45.0,26.8
POE30.SORBITAN,1.367913412793862,24.0,0.20560344827586197,23.0,1.0711963381968463,5.0,0.011287514054929747,38.0,0.0,79.5,29.2
POE18.C16,1.3506778766347012,27.0,0.20201149425287346,26.0,0.0,56.0,0.028890480750692067,2.0,0.012504506008040428,30.0,29.6
POE18,1.3368605379508773,28.0,0.20258620689655182,25.0,0.09024385245277189,50.0,0.014196192690751501,26.0,0.02027678336239247,21.0,30.4
POE20.SORBITAN,1.5526557195769268,10.0,0.22298850574712636,10.0,0.0,56.0,0.007991326214695525,59.0,0.0025479229058877895,53.0,31.466666666666665
POE36.SORBITAN,1.3651920057019373,26.0,0.20071839080459775,28.0,0.5145244461326446,21.0,0.009293113106220234,53.0,0.005944194858818808,47.0,31.933333333333334
POE18.SORBITAN,1.4779705942590655,15.0,0.21494252873563213,15.5,0.0,56.0,0.01650734504501219,15.0,0.0,79.5,31.933333333333334
POE26.SORBITAN,1.44676995917967,19.0,0.2132183908045977,17.0,0.0,56.0,0.003306635867059869,81.0,0.04071559536229685,7.0,32.53333333333333
POE27.SORBITAN,1.2920809451355397,34.0,0.19813218390804588,31.0,0.0,56.0,0.02161863826011155,7.0,0.017866960405673593,25.0,32.8
POE14.C16,1.2870697310867372,36.0,0.1949712643678161,37.0,0.35445564368866084,26.0,0.008155779381803044,56.0,0.0258026735582102,17.0,34.4
POE10,1.2452114622184964,41.0,0.19339080459770108,40.0,0.3932988363342755,24.0,0.012547466443930544,31.0,0.01129331113305887,35.0,35.2
POE21.SORBITAN,1.4652434662959692,18.0,0.21494252873563213,15.5,0.13247909067558883,45.0,0.009309400693850643,52.0,0.0,79.5,35.46666666666667
POE16.C16,1.3129792058585583,31.0,0.19683908045977017,33.5,0.0,56.0,0.009670255275530039,48.0,0.0429711028787374,5.0,35.46666666666667
POE23.SORBITAN,1.4196564970274432,21.0,0.21063218390804606,19.0,0.0,56.0,0.014649489183841409,24.0,0.0,79.5,35.666666666666664
POE28.SORBITAN,1.2792230195537395,38.0,0.19683908045977017,33.5,0.32124717509274453,28.0,0.02089644377176955,8.0,0.0,79.5,36.333333333333336
POE34.SORBITAN,1.2864078672972374,37.0,0.19568965517241388,35.5,0.0,56.0,0.015145259821014025,22.0,0.01641308371729777,26.0,36.93333333333333
POE33.SORBITAN,1.4351958156012101,20.0,0.21106321839080455,18.0,0.09723936919212836,49.0,0.003391332142267459,80.0,0.004521492645117142,49.0,37.13333333333333
