seed,best_model,best_val_auc,best_sensitivity,best_specificity,best_cv_auc,selected_features
134,SVM Linear,0.7002395953500754,0.7966101694915254,0.5392670157068062,0.5673529411764706,"POE14, POE30.C18, POE31.C18, POE15, POE35.SORBITAN..."
112,SVM Linear,0.6960688614783921,0.8305084745762712,0.518324607329843,0.6186974789915967,"POE14, POE15, POE17, POE25.C18, POE35.SORBITAN..."
192,SVM Linear,0.6928742568107197,0.7966101694915254,0.5287958115183246,0.5757773109243697,"POE14, POE31.C18, POE17, POE15, POE25.C18..."
156,SVM Linear,0.6928742568107197,0.7966101694915254,0.5287958115183246,0.5143487394957983,"POE14, POE15, POE17, POE30.C18, POE25.C18..."
196,SVM Linear,0.6866625255124679,0.8305084745762712,0.5026178010471204,0.5865546218487394,"POE14, POE30.C18, POE31.C18, POE15, POE17..."
174,SVM Linear,0.6847102671044458,0.8305084745762712,0.4869109947643979,0.6258613445378152,"POE14, POE35.SORBITAN, POE15, POE30.C18, POE25.C18..."
108,SVM Linear,0.6836453988818884,0.8305084745762712,0.5026178010471204,0.5675210084033614,"POE14, POE30.C18, POE31.C18, POE17, POE15..."
101,SVM Linear,0.6832904428077026,0.8135593220338984,0.518324607329843,0.6136344537815125,"POE14, POE35.SORBITAN, POE25.C18, POE15, POE17..."
159,SVM Linear,0.6832904428077026,0.8135593220338984,0.518324607329843,0.6192436974789917,"POE14, POE15, POE35.SORBITAN, POE12, POE25.C18..."
168,SVM Linear,0.6832904428077026,0.8135593220338984,0.518324607329843,0.6089915966386555,"POE14, POE15, POE17, POE24.SORBITAN, POE25.C18..."
167,SVM Linear,0.6832904428077026,0.8135593220338984,0.518324607329843,0.5909873949579831,"POE31.C18, POE14, POE25.C18, POE17, POE30.C18..."
165,SVM Linear,0.6832904428077026,0.8135593220338984,0.518324607329843,0.5581302521008403,"POE14, POE15, POE35.SORBITAN, POE25.C18, POE17..."
162,SVM Linear,0.6832904428077026,0.8135593220338984,0.518324607329843,0.5980252100840336,"POE14, POE31.C18, POE15, POE17, POE30.C18..."
161,SVM Linear,0.6832904428077026,0.8135593220338984,0.518324607329843,0.5973109243697479,"POE14, POE31.C18, POE15, POE30.C18, POE25.C18..."
160,SVM Linear,0.6832904428077026,0.8135593220338984,0.518324607329843,0.6338445378151261,"POE14, POE15, POE31.C18, POE17, POE35.SORBITAN..."
157,SVM Linear,0.6832904428077026,0.8135593220338984,0.518324607329843,0.6208193277310924,"POE30.C18, POE14, POE31.C18, POE25.C18, POE17..."
158,SVM Linear,0.6832904428077026,0.8135593220338984,0.518324607329843,0.6046638655462184,"POE14, POE35.SORBITAN, POE15, POE17, POE30.C18..."
170,SVM Linear,0.6832904428077026,0.8135593220338984,0.518324607329843,0.6126890756302521,"POE14, POE30.C18, POE31.C18, POE12, POE15..."
155,SVM Linear,0.6832904428077026,0.8135593220338984,0.518324607329843,0.6206932773109243,"POE14, POE30.C18, POE15, POE17, POE31.C18..."
154,SVM Linear,0.6832904428077026,0.8135593220338984,0.518324607329843,0.6045798319327732,"POE14, POE25.C18, POE15, POE17, POE12..."
