Model,CV_AUC,CV_std,Val_AUC,Sensitivity,Specificity
Logistic (L2),0.6434663865546218,0.06794763329208062,0.5978773584905661,0.75,0.5094339622641509
Logistic (L1),0.6441806722689076,0.06821851379132077,0.5636792452830188,0.625,0.5943396226415094
SVM Linear,0.6228781512605043,0.0671066545578027,0.5141509433962264,0.5,0.6415094339622641
SVM RBF,0.6540126050420167,0.08452091900585293,0.6073113207547169,0.875,0.41509433962264153
Random Forest,0.6325840336134454,0.08190611503401989,0.4799528301886793,0.5,0.6320754716981132
Gradient Boosting,0.6399894957983193,0.06992933208440345,0.5070754716981132,0.875,0.2358490566037736
XGBoost,0.621470588235294,0.0690296175135076,0.554245283018868,0.75,0.44339622641509435
