Model,CV_AUC,CV_std,Val_AUC,Sensitivity,Specificity
Logistic (L2),0.5828991596638656,0.14945943365256886,0.6037735849056605,1.0,0.32075471698113206
Logistic (L1),0.6153781512605043,0.16885045441184907,0.5648584905660377,0.625,0.5943396226415094
SVM Linear,0.595126050420168,0.1806356421736894,0.5306603773584906,0.5,0.660377358490566
SVM RBF,0.6127100840336135,0.1554609073306581,0.6285377358490566,0.875,0.44339622641509435
Random Forest,0.5722899159663866,0.14957612000870651,0.527122641509434,0.5,0.6792452830188679
Gradient Boosting,0.5357563025210084,0.13449393111150354,0.5218160377358491,0.875,0.3113207547169811
XGBoost,0.5135294117647059,0.10844291588308393,0.5147405660377358,0.875,0.25471698113207547
