Model,CV_AUC,CV_std,Val_AUC,Sensitivity,Specificity
Logistic (L2),0.6270053475935828,0.08666154476279063,0.5660377358490566,1.0,0.2830188679245283
Logistic (L1),0.6397440794499618,0.09327757161945334,0.5377358490566038,1.0,0.2830188679245283
SVM Linear,0.6135567863509039,0.11519788149474378,0.5058962264150944,0.75,0.42452830188679247
SVM RBF,0.5917175961293608,0.07398541107253605,0.5518867924528301,0.875,0.32075471698113206
Random Forest,0.5906512605042016,0.05907051382749156,0.5283018867924528,1.0,0.2358490566037736
Gradient Boosting,0.5593137254901961,0.12841600564795524,0.4793632075471698,1.0,0.14150943396226415
XGBoost,0.5082728545963839,0.1544800221730075,0.5683962264150944,1.0,0.32075471698113206
