,MW_score,MW_rank,Effect,Effect_rank,L1_coef,L1_rank,RF,RF_rank,MI,MI_rank,Avg_rank
POE14,1.9761643422658872,3.0,0.2633195148165208,2.0,0.43945022886507457,14.0,0.021485769829222873,9.0,0.04781370765961879,4.0,5.866666666666666
POE31.C18,1.9794472295348549,2.0,0.23230462152617837,7.0,0.48900234714530694,13.0,0.023106674457053653,5.0,0.018364436756117763,26.0,9.133333333333333
POE17,1.7240707936461481,6.0,0.24182404421925385,4.0,0.0,41.0,0.019244621147909934,13.0,0.07905288295819801,1.0,12.733333333333333
POE12,1.6348076035988202,9.0,0.23384001228312612,6.0,0.0,41.0,0.02733015721361409,3.0,0.040661659546151085,10.0,13.933333333333334
POE15,2.0211128780200776,1.0,0.26700445263319517,1.0,0.0,41.0,0.010302690028362012,45.0,0.045825734670509766,6.0,15.533333333333333
POE16,1.9724415930199957,4.0,0.2630124366651312,3.0,0.0,41.0,0.021247673867848458,10.0,0.005617969495168351,49.0,17.933333333333334
POE30.C18,1.7722045677417937,5.0,0.23199754337478895,8.0,0.49200677250918295,12.0,0.01773652726238116,17.0,0.0,80.5,18.866666666666667
POE35.SORBITAN,1.6449710276795504,8.0,0.23184400429909413,9.0,0.2752873721280611,20.0,0.011473090493263569,39.0,0.006998638015742964,45.0,19.733333333333334
POE13,1.7067215984338138,7.0,0.2402886534623061,5.0,0.0,41.0,0.01652312926240339,23.0,0.009229574147278319,41.0,19.933333333333334
POE26.SORBITAN,1.4601266476529067,17.0,0.217564870259481,15.0,0.0,41.0,0.0200602155734515,12.0,0.02347687875783122,18.0,20.733333333333334
POE19,1.5020703833832207,11.0,0.221556886227545,11.0,0.0,41.0,0.024860340628198897,4.0,0.0063945695640499345,47.0,20.866666666666667
POE18,1.3873367203999298,24.0,0.21050207277752198,22.0,0.0,41.0,0.023039802912947372,6.0,0.022432603459950018,19.0,23.8
POE11,1.381093389650722,25.0,0.20988791647474292,23.5,0.0,41.0,0.022566710520521043,7.0,0.028722448794263222,15.0,24.066666666666666
POE24.SORBITAN,1.4891046858908572,13.0,0.22032857362198688,12.0,0.0,41.0,0.007092589554374778,58.0,0.01871000941479828,25.0,25.933333333333334
POE30.SORBITAN,1.4049158049863086,21.0,0.21219100261016433,20.0,0.5665232140856611,7.0,0.010845603805266203,43.0,0.0,80.5,28.8
POE33.SORBITAN,1.4939892140420974,12.0,0.219560878243513,14.0,0.0,41.0,0.014984620697100194,28.0,0.0,80.5,29.6
POE21.SORBITAN,1.419033868540701,19.0,0.21357285429141726,18.0,0.0718732527449191,34.0,0.01578440220714987,24.0,0.0,80.5,30.6
POE10,1.2059867789647554,38.0,0.19207738369415006,34.0,0.0,41.0,0.028107440519404885,2.0,0.019618226026872687,23.0,30.733333333333334
POE34.SORBITAN,1.3505962366271547,26.0,0.20466758790112083,26.0,0.0,41.0,0.015673895874713552,25.0,0.00882479130785807,42.0,31.0
POE24.C16,1.2691666486075994,32.0,0.1979118685705512,30.0,0.20133478150780001,23.0,0.011381613029793633,40.0,0.012484118446391301,37.0,31.4
POE36.SORBITAN,1.4808624071431047,15.0,0.21418701059419631,16.0,0.5053478012080498,10.0,0.0023499914675075605,80.0,0.0,80.5,31.666666666666668
POE29.SORBITAN,1.4125104284621997,20.0,0.2129586979886382,19.0,0.0,41.0,0.017453015996228873,19.0,0.0,80.5,31.866666666666667
POE20.SORBITAN,1.4870921058430726,14.0,0.22002149547059724,13.0,0.0,41.0,0.010000013192837862,46.0,0.0,80.5,32.266666666666666
POE27.SORBITAN,1.3178968079179838,28.0,0.20359281437125754,27.0,0.0,41.0,0.012853772035783473,33.0,0.011266717611434274,39.0,32.46666666666667
POE31.SORBITAN,1.423085293349724,18.0,0.21387993244280668,17.0,0.0,41.0,0.0063685795238944045,64.0,0.005352722316881886,50.0,32.733333333333334
POE22.SORBITAN,1.5760605186781178,10.0,0.2284661446338092,10.0,0.0,41.0,0.006114565981922238,65.0,0.0,80.5,32.93333333333333
POE25.C18,1.1063973257689181,48.0,0.18132964839551668,43.0,0.568670244779032,5.0,0.011595237083068421,38.0,0.021005744194731113,21.0,33.13333333333333
POE18.C16,1.240621220448149,35.0,0.1936127744510978,33.0,0.0,41.0,0.021934457094362435,8.0,0.007619321313377503,44.0,33.266666666666666
POE25.SORBITAN,1.3163801413842235,29.0,0.20343927529556272,28.0,0.0,41.0,0.03227726459349716,1.0,0.0,80.5,34.266666666666666
POE17.C16,1.1132825425703075,46.0,0.18010133578995857,44.0,0.0,41.0,0.01699257761488603,22.0,0.05487131830516856,2.0,35.4
POE23.SORBITAN,1.396742277187308,22.0,0.21142330723169045,21.0,0.0,41.0,0.010333176192926286,44.0,0.0,80.5,36.266666666666666
POE20,1.1943326093776585,39.0,0.19084907108859195,35.0,0.0,41.0,0.013938740115530557,31.0,0.012174657138092737,38.0,37.13333333333333
POE23,1.1472340306537219,44.0,0.1857822815906649,38.0,0.0,41.0,0.020121937899530838,11.0,0.007727409492805037,43.0,37.266666666666666
POE12.ISOSORBITAN,1.1569254212615068,41.0,0.18347919545524327,41.0,0.11299640275861855,30.0,0.00730242543731205,57.0,0.019159816866188395,24.0,38.666666666666664
POE19.SORBITAN,1.2392984265151583,36.0,0.19484108705665593,32.0,0.0,41.0,0.002723510410523622,78.0,0.02398433320683857,17.0,39.0
POE32.SORBITAN,1.3493452206304675,27.0,0.20635651773376318,25.0,0.0,41.0,0.008649681781744915,52.0,0.0,80.5,39.733333333333334
POE19.C16,1.2668511197847547,33.0,0.19714417319207733,31.0,0.0,41.0,0.002243230207863812,82.0,0.017857300843830526,27.0,39.8
POE30.C16,1.465771403159907,16.0,0.17979425763856893,45.0,0.0,41.0,0.011649743892746667,37.0,0.0,80.5,40.13333333333333
POE22.C16,1.1426962651548884,45.0,0.18470750806080138,40.0,0.0,41.0,0.005155825513730583,68.0,0.04706527034224384,5.0,40.6
POE18.SORBITAN,1.3947212340035846,23.0,0.20988791647474292,23.5,0.0,41.0,0.004722206223381097,72.0,0.0,80.5,40.93333333333333
POE21.C16,1.154146494651124,43.0,0.1859358206663595,37.0,0.5076255628938018,9.0,0.008309320545490108,53.0,0.0,80.5,40.93333333333333
POE16.C16,1.103534377851545,49.0,0.17764471057884235,48.0,0.0,41.0,0.018251825963751408,16.0,0.006092616783431648,48.0,42.6
POE28.SORBITAN,1.3042221236794818,30.0,0.2022109626900046,29.0,0.03603001348195492,38.0,0.003799358509090207,75.0,0.0,80.5,44.06666666666667
POE21,1.1086509857086069,47.0,0.1816367265469061,42.0,0.0,41.0,0.006981046888455017,59.0,0.013739281900479128,36.0,44.6
POE20.C16,1.1695101946523343,40.0,0.18747121142330725,36.0,0.0,41.0,0.009875437726202663,48.0,0.0,80.5,45.6
POE15.C16,1.2120623641085626,37.0,0.18532166436358044,39.0,0.08164419038535575,33.0,0.0,97.5,0.0004317140856511248,59.0,47.733333333333334
POE24.C18,0.9517411595000911,60.0,0.16382619376631347,54.0,0.0,41.0,0.009449058873715098,49.0,0.021707718757415506,20.0,47.8
POE25.C16,1.0058628396788685,56.0,0.16935360049132497,51.0,0.0,41.0,0.007390005810670266,56.0,0.016816988763093565,30.0,48.2
POE22,0.9077010438200047,64.0,0.1586058651926916,60.0,0.5566698780981534,8.0,0.00921874230034005,51.0,0.002349600784872008,54.0,48.666666666666664
POE14.C18,1.0119720905753462,55.0,0.16812528788576686,52.0,0.18732551920707063,24.0,0.007457806514577186,55.0,0.00019124865197817087,61.0,48.8
POE15.C18,0.8907512941306627,68.0,0.15614923998157537,65.0,0.040649691196891526,37.0,0.012790407243134062,34.0,0.03233793921624595,13.0,49.13333333333333
POE15.ISOSORBITAN,1.0659067259159085,53.0,0.1761093198218946,50.0,0.0,41.0,0.014641695896387268,29.0,0.0,80.5,50.266666666666666
POE23.C16,1.0834732262344402,52.0,0.1782588668816214,47.0,0.0,41.0,0.006723734014001903,62.0,0.0013105744887556003,56.0,50.333333333333336
POE13.ISOSORBITAN,1.0980475338766313,50.0,0.17918010133578988,46.0,0.0,41.0,0.00926296431984689,50.0,0.0,80.5,51.2
POE25,0.5396309646020957,90.0,0.10931982189467226,88.0,0.5732223188267866,4.0,0.018263963018956858,15.0,0.04412440097084702,8.0,51.333333333333336
POE27.C18,0.7848209210175009,77.0,0.14294487947182555,72.5,0.25083128505366403,21.0,0.011183246786402949,41.0,0.02680965734880192,16.0,51.666666666666664
POE32.C18,1.2717497045674662,31.0,0.16229080300936594,56.0,0.0,41.0,9.793906023283288e-18,95.0,0.00029212109505949435,60.0,52.06666666666667
POE27.C16,0.9709195360524214,59.0,0.1632120374635344,55.0,0.0,41.0,0.015014729507044024,26.0,0.0,80.5,52.8
POE28.C16,0.9768321830344019,57.0,0.1596806387225549,59.0,0.40482531722184484,17.0,0.006938080190824607,60.0,0.0,80.5,53.06666666666667
POE32.C16,1.1545080567347532,42.0,0.11454015046829413,86.0,0.41912462968741176,16.0,0.0069042791247903215,61.0,0.0008337260514319489,57.0,53.06666666666667
POE26.C18,0.9043725137669437,65.0,0.15799170888991254,61.0,0.000948744238342787,40.0,0.013063331472047763,32.0,0.0005025329539232182,58.0,53.6
POE16.C18,0.9022250134548835,67.0,0.1576846307385229,62.0,0.0,41.0,0.004818885528143174,71.0,0.030720744972595027,14.0,53.93333333333333
POE29.C16,0.9242673265433019,63.0,0.14386611392599424,70.5,0.15327995520321,27.0,0.0050410239880423965,69.0,0.017600224477341442,28.0,53.93333333333333
POE31.C16,1.259771029876671,34.0,0.14294487947182555,72.5,0.0,41.0,0.0013007254637149419,85.0,0.006499384834715016,46.0,54.06666666666667
POE14.ISOSORBITAN,0.9038471093118565,66.0,0.15737755258713348,63.0,0.0,41.0,0.0029342951117678545,77.0,0.03336612271749262,12.0,54.46666666666667
POE23.C18,0.9308821585943409,62.0,0.16136956855519724,58.0,0.0,41.0,0.014148722630174837,30.0,0.0,80.5,54.93333333333333
