sampleID,Group,POE10,POE12,POE11,POE13,POE14,POE15,POE16,POE17,POE18,POE19,POE20,POE21,POE22,POE23,POE24,POE25,POE26,POE27,POE28,POE29,POE30,POE12.ISOSORBITAN,POE13.ISOSORBITAN,POE14.ISOSORBITAN,POE15.ISOSORBITAN,POE16.ISOSORBITAN,POE17.ISOSORBITAN,POE18.ISOSORBITAN,POE19.ISOSORBITAN,POE20.ISOSORBITAN,POE21.ISOSORBITAN,POE22.ISOSORBITAN,POE18.SORBITAN,POE19.SORBITAN,POE20.SORBITAN,POE21.SORBITAN,POE22.SORBITAN,POE23.SORBITAN,POE24.SORBITAN,POE25.SORBITAN,POE26.SORBITAN,POE27.SORBITAN,POE28.SORBITAN,POE29.SORBITAN,POE30.SORBITAN,POE31.SORBITAN,POE32.SORBITAN,POE33.SORBITAN,POE34.SORBITAN,POE35.SORBITAN,POE36.SORBITAN,POE13.C16,POE14.C16,POE15.C16,POE16.C16,POE17.C16,POE18.C16,POE19.C16,POE20.C16,POE21.C16,POE22.C16,POE23.C16,POE24.C16,POE25.C16,POE26.C16,POE27.C16,POE28.C16,POE29.C16,POE30.C16,POE31.C16,POE32.C16,POE33.C16,POE34.C16,POE35.C16,POE36.C16,POE38.C16,POE37.C16,POE39.C16,POE14.C18,POE15.C18,POE16.C18,POE17.C18,POE18.C18,POE19.C18,POE20.C18,POE21.C18,POE22.C18,POE23.C18,POE24.C18,POE25.C18,POE26.C18,POE27.C18,POE28.C18,POE29.C18,POE30.C18,POE31.C18,POE32.C18,POE33.C18,POE34.C18,cdai,Sac_S,Suc_S,Asp_S
HK1054,0,407063.0,366882.0,416113.0,259221.594,162993.313,98027.012,73764.987,49929.215,15552.401,19157.289,20113.441,10068.2,7978.181,0.0,0.0,7060.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10825.306,20710.232,23136.938,35056.609,31996.939,33338.215,27589.758,22153.068,15492.808,11282.296,8714.297,0.0,0.0,0.0,0.0,0.0,0.0,6831.085,19530.951,25475.869,30456.916,40843.289,44672.438,51105.547,56313.438,59406.523,43968.621,43661.406,37823.676,27790.766,17660.775,12885.274,8346.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31527.738,80358.055,104072.898,127253.117,137547.484,146841.531,158855.25,155636.891,159857.641,139432.375,114518.664,80350.273,69516.797,47458.621,28285.41,16501.883,9605.087,0.0,0.0,0.0,0.0,68.44436941,29.377,76.808,0.209
HK1055,0,445152.75,799311.813,604026.563,782128.875,613252.0,373002.484,283204.48,231561.281,72047.508,106769.492,105464.969,110564.203,151634.063,165468.0,175868.484,170153.188,175651.656,106264.398,105602.18,61225.18,52511.82,35841.355,52019.77,71529.789,67672.422,82564.883,70766.57,38368.918,26188.818,24718.479,0.0,9484.865,19873.045,51792.156,91886.57,188002.984,325964.938,474138.063,571165.313,633668.75,631182.625,548365.875,387671.281,292156.938,206413.984,122322.914,97228.359,54529.035,36711.984,22294.064,11299.8,0.0,0.0,0.0,0.0,0.0,0.0,9591.607,10673.27,15315.414,16999.395,15707.534,14607.001,14927.108,12612.86,9534.673,8763.546,9676.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13679.652,16080.656,16074.197,23407.764,20228.553,26119.662,24626.047,24058.73,23298.734,20560.666,18193.914,14502.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.3605975,0.295,41.398,0.101
HK1056,1,420442.875,473525.969,475751.969,442813.125,318120.375,190472.912,145119.289,120226.883,52211.695,57241.039,59459.832,42673.824,49660.895,50942.078,51219.156,61470.52,48506.371,55611.332,56464.172,39934.82,52931.336,18219.529,22267.047,27753.336,25575.656,24913.645,18045.264,11940.874,9965.332,0.0,0.0,0.0,82153.734,157574.875,185656.328,387854.281,573197.625,717098.313,722978.125,707623.813,583012.75,412426.719,279951.375,157286.125,99547.758,53333.758,33208.125,17694.881,9758.353,0.0,0.0,0.0,8004.068,18744.701,24640.121,27765.123,36951.777,36395.656,40709.5,40687.191,35919.695,36364.066,28765.205,18634.557,19976.773,11851.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23456.865,69839.195,83652.977,90682.094,103684.156,101512.453,106073.969,95501.758,87797.281,74095.742,67493.961,56450.227,36620.109,26622.928,14486.751,9859.062,0.0,0.0,0.0,0.0,0.0,185.8,0.0,115.964,0.0
HK1057,0,603937.938,459455.281,573352.813,274583.906,157763.063,94705.103,62132.056,38590.704,13899.413,17787.051,14100.63,7024.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9375.293,13858.458,20086.494,37665.473,54732.719,63590.313,67439.07,65877.336,51421.203,36575.766,25031.254,14410.81,10341.476,7197.495,0.0,0.0,0.0,0.0,0.0,0.0,4630.187,0.0,9183.991,10544.036,13835.53,13896.978,17050.578,14107.564,14024.964,13222.11,10357.131,9056.465,7264.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11767.166,30056.068,32102.113,38679.352,40576.625,44660.559,44847.691,42387.844,39111.5,35925.48,32725.84,22036.229,17370.725,12224.501,7490.72,0.0,0.0,0.0,0.0,0.0,0.0,27.4,0.0,865.474,0.0
HK1058,0,1437420.75,1149154.125,1424995.875,704815.563,445343.25,225831.284,173800.643,107605.637,29105.33,32645.293,25601.182,14948.944,16424.695,13250.415,13967.862,12517.295,12235.226,13852.118,13959.204,10782.487,12122.2,14278.823,24444.67,28143.447,38555.105,28066.67,23614.473,18311.947,21364.646,9014.339,0.0,0.0,33352.98,59812.156,90824.016,164661.922,244287.156,300042.844,338105.188,317774.469,317455.156,253664.5,201234.594,126970.648,109022.242,82513.945,56408.953,40924.699,27083.527,16427.512,10900.66,0.0,5474.949,11655.705,14853.949,18916.83,23000.887,30082.197,34576.887,33734.898,31734.547,35298.43,30932.928,18446.486,23148.359,17211.627,11753.433,12444.436,9838.309,7682.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10935.791,32881.965,54181.449,58468.055,77821.281,81398.906,99848.82,93294.555,96294.781,85242.109,74209.641,66866.352,56862.461,45379.156,34441.031,25594.58,20229.752,14253.303,10224.097,0.0,0.0,0.0,0.609,0.0,0.105
HK1059,0,2294909.0,2679227.0,2694654.5,1700851.25,1212974.5,654335.359,403194.422,285882.617,100236.328,91406.109,66995.273,37932.043,39589.059,27676.918,27411.264,19233.705,21075.061,8465.828,14558.25,0.0,8335.644,37079.156,72948.93,72799.672,82873.453,88450.289,76511.313,73241.391,67253.266,46451.238,17832.762,15678.979,198917.922,381775.531,600062.875,1097439.375,1592522.0,1918811.625,2045906.5,1991514.625,1696627.0,1068028.375,955201.563,592312.938,448599.219,288394.563,216251.469,143164.609,90571.305,62081.434,41887.492,0.0,2551.885,0.0,0.0,0.0,7230.336,8265.811,9242.452,7779.985,9722.569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11801.383,13952.644,16302.354,21351.627,22364.129,20687.99,17998.063,18988.615,13568.481,15630.962,9577.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.09650014,3.085,91.452,0.0
HK1060,0,1577806.625,1611622.0,1614930.875,1189712.375,742242.063,372404.27,236950.801,186343.937,54722.887,54714.762,33686.781,23801.504,14373.757,9016.639,7378.218,0.0,0.0,0.0,0.0,0.0,0.0,34220.047,40613.668,75639.875,82704.305,101752.305,65946.805,51414.543,48383.695,22181.273,17314.023,8359.237,69988.852,134209.719,182711.516,354669.125,584140.313,746802.5,841684.938,901331.375,841658.813,670147.5,509359.281,346982.125,234569.469,173722.984,131163.719,80781.445,51420.629,31149.281,15998.908,0.0,13134.421,33642.969,51740.398,67145.836,63536.836,98182.977,116016.016,117032.453,125870.914,119317.672,102557.281,96611.609,75893.82,59180.746,44084.379,31134.0,26864.574,16404.875,10808.556,9014.094,0.0,0.0,0.0,0.0,0.0,0.0,12844.839,34588.324,58650.5,66413.789,73349.266,89362.734,103772.383,108442.523,108664.055,85937.938,79045.789,72043.328,54696.328,39593.105,23695.258,16941.275,13567.518,10554.773,7863.245,0.0,0.0,54.17309963,2.93,97.117,0.0
HK1063,0,292098.969,400434.563,365556.063,407653.188,398695.438,413415.719,463927.937,472703.187,305492.563,500462.719,601274.625,702966.0,715261.313,380686.344,510726.938,612756.563,513273.344,351721.75,196586.563,130058.148,75803.703,12727.418,23333.168,25462.457,29264.459,31623.473,29386.799,21737.828,13165.35,8984.262,0.0,0.0,36340.48,45599.336,86112.438,227396.109,364436.188,523528.0,611803.375,624850.0,468916.906,291824.906,0.0,192530.297,149177.422,113743.219,78515.883,46633.379,28012.137,14786.264,7251.305,0.0,6220.653,24116.045,26111.045,30529.576,37285.59,42807.309,45805.016,49605.668,45424.484,42618.156,37085.156,27506.996,21361.346,14469.934,8872.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25160.902,81775.664,106922.531,115438.453,127818.891,124176.391,130859.32,129764.297,114316.008,104886.648,88360.711,76099.281,53815.52,34477.625,19445.223,11442.385,7138.412,0.0,0.0,0.0,0.0,127.6518455,1.101,690.459,0.0
HK1064,0,307513.406,875813.375,525601.375,1159583.375,888696.0,974106.758,657931.859,657703.079,199745.953,138179.984,122777.313,65514.406,57992.469,46094.43,27340.506,25452.287,18149.979,12283.03,9246.877,0.0,0.0,58270.813,117261.797,165961.766,220547.594,212698.156,237682.578,149526.266,170665.734,89690.898,78216.883,53652.188,46325.176,91908.148,145920.797,355021.969,658123.188,1020030.75,1283339.75,1643292.25,1848132.125,1741632.375,1596898.75,1261187.125,1012780.125,823278.188,703183.5,500521.219,380489.875,245114.578,183805.266,0.0,2344.655,7015.526,7408.445,11416.005,11319.751,14293.632,14932.865,13783.999,15729.228,11470.652,11496.19,9529.826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7027.181,18660.994,28135.381,33872.891,40438.188,40570.348,40711.223,36847.645,38221.512,30723.883,24984.834,20738.139,14884.456,8460.432,7494.15,0.0,0.0,0.0,0.0,0.0,0.0,44.20767692,145.896,1293.342,0.101
HK1065,0,874214.688,3476680.75,1854382.75,3723720.5,4113081.75,2869839.219,2352012.031,1926653.0,605687.063,480246.313,303982.625,145610.859,110312.93,59552.68,36857.348,25438.094,20511.281,13609.85,9758.06,0.0,7720.895,14555.525,37701.461,41028.055,67463.656,64316.211,69575.219,38009.461,50720.918,22757.662,14436.217,8797.177,12433.632,25921.898,46746.637,94413.492,174038.5,272651.125,339437.438,392255.781,474304.313,441038.375,373466.5,285177.438,233409.609,164932.813,119084.07,88530.781,65028.461,38354.969,26996.064,0.0,0.0,0.0,0.0,0.0,0.0,7029.297,0.0,7133.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11533.194,13869.543,14562.878,18711.066,20193.072,19873.283,19621.934,19562.633,14826.234,14387.195,12798.729,10392.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.893,0.0,0.0
