Model,CV_AUC,CV_std,Val_AUC,Sensitivity,Specificity
Logistic (L2),0.6675213675213676,0.18155906332792643,0.4256908140403286,0.9615384615384616,0.11650485436893204
Logistic (L1),0.6465811965811966,0.17582549009141143,0.4327856609410008,0.9615384615384616,0.11650485436893204
SVM Linear,0.6995726495726495,0.18028718739657396,0.5660941000746826,0.9230769230769231,0.33980582524271846
SVM RBF,0.5837606837606838,0.13612570196452595,0.47796863330843914,0.3076923076923077,0.8543689320388349
Random Forest,0.6363247863247863,0.13203952593369678,0.5056011949215833,0.5384615384615384,0.6116504854368932
Gradient Boosting,0.5715811965811965,0.1576598766827219,0.5026138909634055,0.6923076923076923,0.39805825242718446
XGBoost,0.5848290598290597,0.1667756601754025,0.5041075429424944,0.5,0.5922330097087378
