,MW_score,MW_rank,Effect,Effect_rank,L1_coef,L1_rank,RF,RF_rank,MI,MI_rank,Avg_rank
POE25,0.8445417921650618,2.0,0.2596153846153846,2.5,0.6493400126636357,3.0,0.027849235752959306,3.0,0.008941392346909938,45.0,8.2
POE26,0.6026788607950341,13.0,0.20432692307692313,12.0,0.6603842119762182,2.0,0.026067628395656087,5.0,0.022677546949352756,30.0,11.733333333333333
POE21,0.9345053250879535,1.0,0.27884615384615385,1.0,0.0,24.0,0.021178463930199065,9.0,0.010609192200135453,43.0,12.266666666666667
POE17,0.5439917328906869,15.0,0.18990384615384615,15.0,0.0,24.0,0.01942988992646276,13.0,0.10302456118732639,1.0,14.666666666666666
POE29.C16,0.8118390957585497,4.0,0.22836538461538458,7.0,0.3404573567096312,6.0,0.008515843410680082,52.0,0.016828846457424884,34.0,15.6
POE24,0.68151835344317,10.0,0.2235576923076923,8.5,0.1209758332167768,15.0,0.02206043646230092,8.0,0.0,79.5,19.6
POE15.C16,0.6208270968396004,12.0,0.20673076923076916,11.0,0.2160229261772013,12.0,0.005462613882839511,66.0,0.0306715757606848,21.0,20.133333333333333
POE22,0.7868488754814268,5.0,0.24759615384615385,4.0,0.0,24.0,0.01590389513817163,19.0,0.0,79.5,20.333333333333332
POE31.C18,0.7316568736480978,6.0,0.19591346153846145,13.0,0.011598555285688119,22.0,0.006330009542019272,64.0,0.03195266115750073,20.0,20.666666666666668
POE16,0.4281753530832502,23.0,0.15865384615384615,21.0,0.0,24.0,0.015251130229436154,23.0,0.04909931267539025,9.0,20.8
POE27,0.713829857998013,8.0,0.2235576923076923,8.5,0.0,24.0,0.018831281957763027,14.0,0.0,79.5,21.666666666666668
POE20,0.8422591553607884,3.0,0.2596153846153846,2.5,0.0,24.0,0.004062600078475907,74.0,0.010688461504218427,42.0,21.733333333333334
POE29.C18,0.37667435630280627,30.0,0.14182692307692313,27.5,0.0,24.0,0.056898541299518275,1.0,0.04093872359699913,14.0,22.133333333333333
POE18.SORBITAN,0.4282485020703942,22.0,0.15865384615384626,20.0,0.0,24.0,0.01972978109959977,11.0,0.01631735037372639,35.0,22.133333333333333
POE13,0.445290151271513,19.0,0.16346153846153844,18.0,0.0,24.0,0.019833177959761993,10.0,0.0022877023829430687,55.0,23.333333333333332
POE19,0.7120385745544675,9.0,0.23076923076923073,6.0,0.0,24.0,0.010519589138225267,39.0,0.0,79.5,24.6
POE16.C16,0.3792553228627639,29.0,0.14423076923076916,26.0,0.0,24.0,0.014765826874002345,25.0,0.0323317373607277,19.0,25.333333333333332
POE11,0.36223501665854835,37.0,0.13942307692307687,29.5,0.0,24.0,0.02224916654290654,7.0,0.04011773779538852,15.0,25.466666666666665
POE23,0.7228938853640868,7.0,0.23317307692307687,5.0,0.10207889683623914,17.0,0.006372507159782268,63.0,0.0,79.5,25.6
POE28.C16,0.574270475646412,14.0,0.1923076923076923,14.0,0.0,24.0,0.015284797197935565,21.0,0.0,79.5,25.666666666666668
POE18,0.6606313017260218,11.0,0.21875,10.0,0.0,24.0,1.0115238229249542e-17,87.0,0.011887782959873139,40.0,27.333333333333332
POE30,0.40359388473195,24.0,0.14663461538461542,24.0,0.03743248861795262,20.0,0.027201185964398453,4.0,0.0,79.5,27.933333333333334
POE30.C16,0.46364979409038504,18.0,0.13461538461538458,34.5,0.0,24.0,0.005520316589248769,65.0,0.07753317879666577,4.0,28.0
POE30.C18,0.5241657070725045,17.0,0.1766826923076923,17.0,0.002993652969711632,23.0,0.012551576337227383,31.0,0.0,79.5,28.4
POE27.C16,0.529998749397097,16.0,0.18509615384615374,16.0,0.0,24.0,0.011111261949237141,37.0,0.0,79.5,28.866666666666667
POE15,0.33076011875894196,45.5,0.1298076923076923,38.5,0.0,24.0,0.019539885676537,12.0,0.043768398047565826,11.0,30.266666666666666
POE14,0.33076011875894196,45.5,0.1298076923076923,38.5,0.0,24.0,0.01528195170742253,22.0,0.08035866019425697,2.0,30.4
POE35.SORBITAN,0.36519436521879156,36.0,0.13942307692307687,29.5,0.30281978536734067,7.0,0.008193668077990686,57.0,0.022197326930407657,31.0,30.6
POE19.SORBITAN,0.3703205980996433,31.0,0.14182692307692313,27.5,0.0,24.0,0.008908397808124245,51.0,0.025954305667772237,26.0,30.666666666666668
POE28.C18,0.32766619028662297,47.0,0.12860576923076916,40.0,0.07570631764342657,19.0,0.014821692989694329,24.0,0.04126716879764336,12.0,31.8
POE29,0.33719431877665207,44.0,0.11899038461538458,46.0,0.5513405452799236,4.0,0.010334067810502662,41.0,0.03807472905725273,16.0,32.4
