Group,POE10,POE12,POE11,POE13,POE14,POE15,POE16,POE17,POE18,POE19,POE20,POE21,POE22,POE23,POE24,POE25,POE26,POE27,POE28,POE29,POE30,POE12.ISOSORBITAN,POE13.ISOSORBITAN,POE14.ISOSORBITAN,POE15.ISOSORBITAN,POE16.ISOSORBITAN,POE17.ISOSORBITAN,POE18.ISOSORBITAN,POE19.ISOSORBITAN,POE20.ISOSORBITAN,POE21.ISOSORBITAN,POE22.ISOSORBITAN,POE18.SORBITAN,POE19.SORBITAN,POE20.SORBITAN,POE21.SORBITAN,POE22.SORBITAN,POE23.SORBITAN,POE24.SORBITAN,POE25.SORBITAN,POE26.SORBITAN,POE27.SORBITAN,POE28.SORBITAN,POE29.SORBITAN,POE30.SORBITAN,POE31.SORBITAN,POE32.SORBITAN,POE33.SORBITAN,POE34.SORBITAN,POE35.SORBITAN,POE36.SORBITAN,POE13.C16,POE14.C16,POE15.C16,POE16.C16,POE17.C16,POE18.C16,POE19.C16,POE20.C16,POE21.C16,POE22.C16,POE23.C16,POE24.C16,POE25.C16,POE26.C16,POE27.C16,POE28.C16,POE29.C16,POE30.C16,POE31.C16,POE32.C16,POE33.C16,POE34.C16,POE35.C16,POE36.C16,POE38.C16,POE37.C16,POE39.C16,POE14.C18,POE15.C18,POE16.C18,POE17.C18,POE18.C18,POE19.C18,POE20.C18,POE21.C18,POE22.C18,POE23.C18,POE24.C18,POE25.C18,POE26.C18,POE27.C18,POE28.C18,POE29.C18,POE30.C18,POE31.C18,POE32.C18,POE33.C18,POE34.C18,,,,,
1,1936331,2638549.75,2402550.25,2713361.5,1838446,1267189.063,803528.219,546305.922,156722.719,116385.617,79144.016,58781.063,40265.453,24443.48,24412.012,26485.203,29455.049,25913.277,29816.469,26270.551,23641.574,7265.76,7895.853,12942.458,15418.516,12838.542,9819.574,9670.441,7373.884,0,0,0,13623.149,17115.758,34004.664,50244.313,97563.578,127617.305,148574.781,155615.297,137479.578,103993.977,92127.727,62002.039,38762.777,33582.141,17523.063,14713.741,8393.723,0,0,0,10081.566,19474.723,23761.699,35119.535,34468.547,48863.516,52503.617,62266,56031.293,54955.988,44637.25,38582.273,33923.906,21663.09,13863.256,9042.547,0,0,0,0,0,0,0,0,0,0,20737.748,61691.73,93659.836,94951.359,109673.313,110726.078,116085.984,120411.258,111744.203,91717.109,84011.547,66440.914,50928.141,37536.605,19992.033,12929.912,0,0,0,0,0,,,,,
0,8262535,6223252,7303530.5,4503698,2487339.75,1573539.875,1028426.141,689945.141,168631.266,138539.844,112201.102,80416.203,64455.938,66728.906,56831.789,54428.297,52439.242,52070.148,39884.055,36241.023,30901.42,38813.934,88432.461,130933.063,179486.141,180285.578,178727.047,130680.281,128464.039,89311.156,55967.801,43722.449,27286.51,29087.225,87545.25,154004.734,367866.938,484333.656,720207.438,893015.375,1042557.813,1029806.375,984296.75,819876.313,733824.75,614619.313,500985.813,392679.75,308699.5,214185.984,151561.094,0,8328.347,20564.918,23951.828,34229.512,38049.059,46045.109,57194.254,54700.988,59260.559,56127.387,50503.09,38262.18,31454.844,21345.99,16760.34,0,0,0,0,0,0,0,0,0,0,0,40180.289,87989.703,95356.375,110384.563,123084.094,121928.906,129021.109,124068.977,112090.203,95723.758,86627.844,72080.156,51674.746,38408.629,24961.281,13523.475,11273.889,0,0,0,0,,,,,
0,19398280,20913110,23236752,14736347,6797253.5,2986610.219,1334131.422,623997.407,127855.711,81223.82,59526.578,52020.961,59362.887,0,60764.125,82354.273,80591.648,90686.883,67550.922,54344.344,33655.629,0,0,8909.349,10188.069,10389.003,8630.929,0,0,0,0,0,7910.044,0,34397.055,28363.881,119972.328,100773.156,240991.734,219144.672,273062.281,217022.219,205448.781,144296.359,124962.664,97053.406,67923.063,42220.813,27139.371,19096,11611.023,0,11279.038,19946.354,26487.377,25002.725,27712.215,29218.223,42226.035,41508.367,40062.273,37328.668,27892.188,24750.727,20047.988,14250.516,7886.288,0,0,0,0,0,0,0,0,0,0,0,45963.484,93128.75,97251.391,109623.625,114272.086,112532.188,113204.992,119145.5,108916.539,85273.883,75833.461,63780.41,44426.063,32990.422,18728.09,14338.473,8577.991,0,0,0,0,,,,,
0,219025.719,304545.688,271428.906,297570.594,207272.266,157667.41,126687.56,107660.543,38809.926,52074.449,51535.891,52325.27,54416.234,60738.902,72090.227,85067.297,92155.492,92034.484,84242.289,66602.414,72664.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7791.493,0,9906.642,10466.659,9025.754,8387.665,0,0,0,0,0,0,0,0,0,0,1648.029,0,0,0,0,8788.021,16110.238,16898.922,15421.614,0,12561.723,8778.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12199.873,13988.533,20210.285,20192.729,20411.758,23608.443,28464.99,28745.693,22908.748,19389.506,16359.691,11656.038,0,0,0,0,0,0,0,0,,,,,
1,129706.984,165356.438,154752.203,166340.078,131232.531,98185.11,74955.34,62065.828,29303.977,20820.344,14838.679,8028.253,7171.905,0,0,0,0,0,0,0,0,0,0,8432.229,10432.955,9764.585,8804.112,8816.665,7270.195,0,0,0,0,9228.834,13715.272,24824.564,45618.668,62379.008,75815.516,80003.797,81756.664,64823.91,57619.949,45473.133,33160.652,23517.664,16647.818,12355.981,9699.937,0,0,0,4780.633,10077.345,9837.489,13954.073,13661.095,20562.82,23525.996,24503.943,20125.141,19767.596,20011.623,17874.893,11330.277,8492.462,0,0,0,0,0,0,0,0,0,0,0,0,11857.41,36066.789,40992.645,61522.961,57857.297,62054.859,62291.008,64918.063,59276.188,52183.32,47224.523,35538.621,26776.605,18992.67,11503.805,7413.907,0,0,0,0,0,,,,,
0,51455252,79423368,72410248,80537432,63791716,47173102,32761249.5,21858609.5,5201836.5,4199200.5,2825973,1650801.125,1005026,574607.25,370294.75,269670.375,203136.547,145853.797,112134.594,75225.977,70004.648,38440.93,89555.008,121685.336,172580.688,171020.375,166865.453,127622.141,130677.906,77173.008,50459.344,33336.086,23029.178,47296.871,84514.086,208553.766,401227.719,619421.375,841022.313,1059727.375,1252918.25,1155559.125,1090220.25,854000.063,688714.625,547576.625,437190.875,318674.219,234989.719,161869.188,113646.469,2536.394,7497.169,36008.887,50819.426,63322.484,56283.727,78360.875,87976.055,83408.781,81226.242,78814.086,66636.047,53390.195,42817.879,30366.416,20588.014,13975.925,8774.087,0,0,0,0,0,0,0,0,0,13785.178,40290.5,51091.836,55593.602,61368.816,60239.703,61262.488,61514.129,52197.633,46923.77,45718.422,33143.738,29149.104,20039.959,0,8559.912,0,0,0,0,0,,,,,
0,1896468.25,2659187.75,2267008.75,2653430,2089358.125,1710810.5,1324007.438,976614.219,296006.875,257324.859,171171.109,127120.602,86575.281,68250.875,51710.523,47007.797,40466.535,28563.309,34549.379,0,27113.215,214053.141,444786.719,605116.563,779820.938,735117.125,696347.75,440229.031,374351.438,269353.094,175611.703,114783.102,256487.094,527193.063,788275.25,1543118.75,2681839.75,3750801,4352288.5,5011866,4825541,4127701,3474739.5,2481163,1911904.875,1416957.25,1055900.5,695500.563,485278.656,342848.688,244654.016,4847.177,20089.549,45467.48,56498.953,86875.102,85641.375,101888.375,131310.453,141956.688,147635.406,140793.688,126188.07,101085.367,82439.344,58628.313,42800.555,29086.273,16264.198,13436.354,0,0,0,0,0,0,0,0,89354.609,240792.25,286695.25,310797.313,353927.969,327149.031,374148.406,341897.969,324767.813,277908.469,235404.813,202145.516,143971.781,109746.422,69362.227,43302.156,24432.219,17970.314,10408.042,0,0,,,,,
0,10994120,15814321,14675698,12434981,6366135,3235469.063,1563778.281,791438.391,136370.703,105218.164,68908.883,38551.625,26542.24,16398.236,12306.595,10797.9,10031.724,8268.816,7852.305,0,0,0,8012.244,8214.509,11065.205,8203.719,0,0,0,0,0,0,25586.273,35522.906,47999.473,78343.883,121690.195,138731.469,137309.125,122098.789,105458.805,67928.75,44851.273,28632.006,20090.744,12906.007,8019.853,0,0,0,0,0,2702.778,26625.318,32285.4,48020.695,60032.949,94922.039,140942.141,152936.469,162461.891,167711.453,135156.547,109062.742,89401,61258.438,45324.273,26826.004,0,7797.841,0,10429.809,0,0,0,0,0,2450.064,36879.379,132413.484,192840.281,233613.703,285371.625,354544.219,421587.406,543174.938,512397.781,432302.625,402688.625,328589,225823.656,170982.219,93266.617,64121.422,43811.609,34536.898,23547.164,18414.746,11136.479,,,,,
0,308863.156,274937.188,288476.75,240140.156,171173.672,112215.748,77737.94,52837.47,16912.783,17584.48,11809.039,8686.839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15015.039,22587.387,24563.443,42409.727,61071.496,69266.461,63577.414,56679.191,47852,35289.414,25782.814,11568.056,9533.234,0,0,0,0,0,0,3086.252,27398.908,87913.93,126923.742,183143.75,188973.359,248171.344,344163.156,349559.688,364427.281,343076.531,276753.813,202966.828,155461.156,106288.883,71949.188,39487.969,22832.037,17882.781,9371.999,0,0,0,0,0,0,0,138793.734,356306.5,455573.688,584120.875,688712.625,752808.563,817624,928896.375,860896.313,669505.125,620047.563,491819.031,325077.781,242115.969,122839.555,85481.375,50345.527,30063.629,19732.342,0,7318.651,,,,,
0,4574764,13398634,8590862,15330504,13037704,10372951.13,8121115.75,5466426,1385237.125,1430624,900740.375,596219.938,355123.625,196046.891,142500.094,90932.484,79839.195,46772.254,35719.641,12629.357,31688.15,289639.438,500160.75,638612.938,868468,681481.375,816936.125,615660.438,569130.875,333361.906,231287.828,168628.703,747590.188,1335999.625,1797780.625,3765660.5,6066541.5,7401354,8203518.5,8017616,7248637.5,5836102,4786093.5,3231043,2493994.5,1748077,1402553.125,959922.625,658839,384134.656,270215.313,0,4066.502,16520.768,20941.234,19083.908,27096.564,31052.064,42917.031,54272.418,46619.762,46267.508,41037.645,40416.277,35482.027,24213.16,16424.52,15120.103,9823.932,0,0,0,0,0,0,0,0,0,15170.68,54534.418,75867.25,98824.438,116259.047,133075.344,150340.703,142699.125,148952.266,133136.719,131479.625,103802.57,84050.594,64883.188,46427.281,28603.504,22496.27,17405.156,9081.313,9038.661,0,,,,,
