Model,n_features,Train_AUC_mean,Train_AUC_std,Train_AUC_CI95,CV_AUC_mean,CV_AUC_std,CV_AUC_CI95,Val_AUC_mean,Val_AUC_std,Val_AUC_CI95,features
SVM RBF,5,0.8870072115384615,0.0001195898361907046,2.34396078933781e-05,0.7570726495726495,0.04202949087077203,0.008237780210671317,0.6728678117998504,0.00156015148844396,0.00030578969173501616,"Asp_S, Suc_S, POE25, Sac_S, POE24"
XGBoost,3,0.975360576923077,0.0,0.0,0.6878205128205128,0.045566468521783025,0.008931027830269472,0.6446975354742345,0.0,0.0,"Asp_S, Suc_S, POE25"
Logistic (L2),20,0.8882211538461542,3.3306690738754696e-16,6.52811138479592e-17,0.7171709401709403,0.045857563575100055,0.008988082460719611,0.6430171769977594,1.1102230246251565e-16,2.176037128265307e-17,"Asp_S, Suc_S, POE25, Sac_S, POE24, POE26, POE29.C16, POE18, POE29.C18, POE13, POE20, POE21, POE23, POE27.C16, POE22, POE16, POE15.C16, POE17, POE19, POE14.C16"
Random Forest,9,0.9822115384615384,0.005518384751562022,0.0010816034113061564,0.7309786324786323,0.043326020345854796,0.00849189998778754,0.6244734876773712,0.013113201084448791,0.002570187412551963,"Asp_S, Suc_S, POE25, Sac_S, POE24, POE26, POE29.C16, POE18, POE29.C18"
SVM Linear,18,0.8810096153846151,3.3306690738754696e-16,6.52811138479592e-17,0.7394999999999999,0.04676027113253666,0.009165013141977185,0.6213778939507095,0.0003355526653400208,6.576832240664406e-05,"Asp_S, Suc_S, POE25, Sac_S, POE24, POE26, POE29.C16, POE18, POE29.C18, POE13, POE20, POE21, POE23, POE27.C16, POE22, POE16, POE15.C16, POE17"
Gradient Boosting,9,1.0,0.0,0.0,0.6598418803418802,0.05685933827215341,0.01114443030134207,0.6122199402539209,0.000598262508215503,0.00011725945161023858,"Asp_S, Suc_S, POE25, Sac_S, POE24, POE26, POE29.C16, POE18, POE29.C18"
Logistic (L1),3,0.8629807692307694,2.220446049250313e-16,4.352074256530614e-17,0.8276324786324786,0.026171312808927684,0.005129577310549826,0.60604929051531,1.1102230246251565e-16,2.176037128265307e-17,"Asp_S, Suc_S, POE25"
