Model,CV_AUC,CV_std,Train_AUC,Val_AUC,Gap
Logistic (L2),0.7072510822510822,0.13210545140622598,0.7376017196376479,0.5648584905660378,0.1727432290716101
Logistic (L1),0.7070791953144895,0.1315042752421602,0.7357592507293106,0.554245283018868,0.1815139677104426
SVM Linear,0.71423478482302,0.13439383137994246,0.7434362045140487,0.5070754716981132,0.2363607328159355
Random Forest,0.6423860453272218,0.13144220934138282,0.9177030554276063,0.4917452830188679,0.42595777240873844
SVM RBF,0.6404698242933536,0.14310177327704185,0.8613542146476278,0.48702830188679247,0.3743259127608354
XGBoost,0.6161653297682709,0.13853363737033608,0.9693689543988946,0.4386792452830188,0.5306897091158758
Gradient Boosting,0.6324675324675325,0.14425290251741435,0.9801934592353754,0.42334905660377353,0.5568444026316018
