model,n_features,val_auc,sensitivity,specificity
SVM Linear,7,0.5719339622641509,1.0,0.22641509433962265
Logistic (L2),9,0.5672169811320755,0.5,0.7547169811320755
Logistic (L1),9,0.5660377358490567,0.5,0.7830188679245284
Random Forest,10,0.5495283018867925,0.625,0.6792452830188679
Gradient Boosting,4,0.5471698113207547,0.875,0.33962264150943394
SVM RBF,7,0.5448113207547169,1.0,0.1320754716981132
XGBoost,4,0.5400943396226415,1.0,0.2169811320754717
