Model,CV_AUC,CV_std,Val_AUC,Sensitivity,Specificity
Logistic (L2),0.6416386554621848,0.05895444615359169,0.5785784009228857,0.6101694915254238,0.5706806282722513
Logistic (L1),0.663172268907563,0.07404559513493753,0.4134350874079333,0.9491525423728814,0.07853403141361257
SVM Linear,0.6271218487394957,0.05168820400129055,0.6917206495696159,0.8305084745762712,0.5235602094240838
SVM RBF,0.6732983193277311,0.11172229403161925,0.5405981009850032,0.559322033898305,0.6649214659685864
Random Forest,0.622079831932773,0.07233698181378675,0.49046055550625617,0.559322033898305,0.5130890052356021
Gradient Boosting,0.5941491596638656,0.08481274573765052,0.32669269677877366,0.9322033898305084,0.08900523560209424
XGBoost,0.5883823529411765,0.0657663898080762,0.4524802555683734,0.05084745762711865,0.9947643979057592
