Model,CV_AUC,CV_std,Val_AUC,Sensitivity,Specificity
Logistic (L2),0.6369270435446907,0.1328236684334986,0.6297169811320755,0.75,0.6037735849056604
Logistic (L1),0.6448306595365418,0.13210761577338648,0.6014150943396226,1.0,0.25471698113207547
SVM Linear,0.6386077158135982,0.14125551891158356,0.6356132075471698,1.0,0.32075471698113206
SVM RBF,0.6572638146167558,0.10051024261435408,0.5424528301886793,0.25,0.9716981132075472
Random Forest,0.613333969951617,0.12625866026458843,0.5683962264150944,0.625,0.5849056603773585
Gradient Boosting,0.6263766870384517,0.12196267736080792,0.5589622641509434,0.75,0.4716981132075472
XGBoost,0.5711054876496053,0.14827811393003196,0.5524764150943396,0.375,0.8867924528301887
